method,n_months,start_date,end_date,mean_gross_monthly,mean_net_monthly,mean_gross_ann,mean_net_ann,vol_gross_monthly,vol_net_monthly,vol_gross_ann,vol_net_ann,sharpe_gross_ann,sharpe_net_ann,sharpe_decay_due_to_costs,hit_rate_gross,hit_rate_net,avg_turnover,avg_cost,max_drawdown_net,terminal_wealth_gross,terminal_wealth_net
AP-tree + RM AP-pruning (static + stock-level TC),276,1994-01-31,2016-12-31,0.006944241235001567,0.0060340427051514475,0.0833308948200188,0.07240851246181737,0.010618849478543751,0.010592270160466948,0.03678477362952811,0.036692700170848996,2.2653638067552735,1.9733765060807182,0.29198730067455525,0.7536231884057971,0.7246376811594203,0.3640794119400481,0.0009101985298501205,-0.059140142287611885,6.6505978495775,5.181842898577532
"AP-tree + RM AP-pruning (static, no TC)",276,1994-01-31,2016-12-31,0.006944241235001567,0.006944241235001567,0.0833308948200188,0.0833308948200188,0.010618849478543751,0.010618849478543751,0.03678477362952811,0.03678477362952811,2.2653638067552735,2.2653638067552735,0.0,0.7536231884057971,0.7536231884057971,0.0,0.0,-0.05022818427962805,6.6505978495775,6.6505978495775
AP-tree + RM rolling TC-aware (portfolio-level TC),276,1994-01-31,2016-12-31,0.006102793030639534,0.006004639285217317,0.0732335163676744,0.0720556714226078,0.013858342404728254,0.013830766319280105,0.048006706307351175,0.04791117994521107,1.5254851249076482,1.503942743739712,0.021542381167936275,0.6811594202898551,0.6739130434782609,0.03926149816888696,9.815374542221742e-05,-0.07551251372128442,5.22406732474339,5.085766549531725
AP-tree + RM rolling TC-aware (stock-level TC),276,1994-01-31,2016-12-31,0.004991414903160921,0.004130276592228585,0.05989697883793105,0.049563319106743026,0.011090474567283222,0.011056119720600555,0.038418530861169996,0.03829952218128876,1.5590647923101488,1.2940975835713477,0.2649672087388011,0.6847826086956522,0.6376811594202898,0.3444553243729341,0.0008611383109323351,-0.07088157959725305,3.8864686956482157,3.067864141318253
S&P 500 (SPY adjusted close),276,1994-01-31,2016-12-31,0.00815151946218906,0.00815151946218906,0.09781823354626873,0.09781823354626873,0.042270377973478324,0.042270377973478324,0.14642888461040962,0.14642888461040962,0.6680255320289098,0.6680255320289098,0.0,0.6304347826086957,0.6304347826086957,0.0,0.0,-0.5078482198064097,7.3434232738261995,7.3434232738261995
