sample,start_row,end_row_exclusive,mean_monthly,std_monthly,sharpe_ann
train,0,240,0.008204392177227716,0.04010070381982734,0.7087368920020233
valid,240,360,0.0125815432942345,0.04114610040848193,1.0592436224527098
test,360,636,0.009726216295554155,0.04052557330387525,0.8313911150860005
