sample,start_row,end_row_exclusive,sharpe_sdf_monthly,sharpe_trade_monthly
cv_train,0,240,0.6387559923937207,0.6387559923937208
cv_valid,240,360,0.9633886137876025,0.9633886137876025
full_train_valid,0,360,0.7839975039542031,0.7839975039542031
test,360,636,0.6539542018212964,0.6539542018212963
