date,date_dt,yy,mm,method,gross_ret,sdf_ret,turnover_raw,turnover,cost,net_ret
19960329,1997-03-31,1997,3,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.012593862523523187,0.25008488436212545,0.0,0.0,0.0,0.012593862523523187
19960430,1997-04-30,1997,4,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",-0.003935672569088178,-0.0781533240885543,0.0,0.0,0.0,-0.003935672569088178
19960531,1997-05-31,1997,5,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.01908561662245443,0.3789960559829186,0.0,0.0,0.0,0.01908561662245443
19960628,1997-06-30,1997,6,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.01411083824939015,0.280208501979436,0.0,0.0,0.0,0.01411083824939015
19960731,1997-07-31,1997,7,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.006420133881565724,0.12748896030600457,0.0,0.0,0.0,0.006420133881565724
19960830,1997-08-31,1997,8,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.01433043678201492,0.28456921923635214,0.0,0.0,0.0,0.01433043678201492
19960930,1997-09-30,1997,9,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.015278194105728135,0.3033894803168161,0.0,0.0,0.0,0.015278194105728135
19961031,1997-10-31,1997,10,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.019171897909927047,0.38070940212751087,0.0,0.0,0.0,0.019171897909927047
19961129,1997-11-30,1997,11,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.01900676019559565,0.377430150339963,0.0,0.0,0.0,0.01900676019559565
19961231,1997-12-31,1997,12,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",-0.006627020044748343,-0.1315972394061624,0.0,0.0,0.0,-0.006627020044748343
19970131,1998-01-31,1998,1,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.0033802060208701044,0.06712304745827671,0.0,0.0,0.0,0.0033802060208701044
19970228,1998-02-28,1998,2,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.018492792604737778,0.3672239467002546,0.0,0.0,0.0,0.018492792604737778
19970331,1998-03-31,1998,3,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.006887875166787757,0.13677721678868854,0.0,0.0,0.0,0.006887875166787757
19970430,1998-04-30,1998,4,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.012187987523404744,0.24202514873451247,0.0,0.0,0.0,0.012187987523404744
19970530,1998-05-31,1998,5,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",-0.0032764257370651974,-0.06506221185474836,0.0,0.0,0.0,-0.0032764257370651974
19970630,1998-06-30,1998,6,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.017363161509166853,0.3447920945675156,0.0,0.0,0.0,0.017363161509166853
19970731,1998-07-31,1998,7,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.018888242530291297,0.3750766645394672,0.0,0.0,0.0,0.018888242530291297
19970829,1998-08-31,1998,8,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",-0.002426755676425957,-0.04818973619733745,0.0,0.0,0.0,-0.002426755676425957
19970930,1998-09-30,1998,9,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",-0.001085210265310374,-0.021549757526875962,0.0,0.0,0.0,-0.001085210265310374
19971031,1998-10-31,1998,10,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.008765219276491949,0.17405691423705702,0.0,0.0,0.0,0.008765219276491949
19971128,1998-11-30,1998,11,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.023890083445285346,0.4744016178242594,0.0,0.0,0.0,0.023890083445285346
19971231,1998-12-31,1998,12,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.003237088616443561,0.06428106792504241,0.0,0.0,0.0,0.003237088616443561
19980130,1999-01-31,1999,1,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.01855431285032813,0.368445596013613,0.0,0.0,0.0,0.01855431285032813
19980227,1999-02-28,1999,2,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.017043042960738726,0.3384352830637941,0.0,0.0,0.0,0.017043042960738726
19980331,1999-03-31,1999,3,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.005030646145582074,0.09989695831876597,0.0,0.0,0.0,0.005030646145582074
19980430,1999-04-30,1999,4,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.00889224949182344,0.17657943952684266,0.0,0.0,0.0,0.00889224949182344
19980529,1999-05-31,1999,5,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.015067932964023699,0.2992141819752004,0.0,0.0,0.0,0.015067932964023699
19980630,1999-06-30,1999,6,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.012745776424503568,0.25310154190374257,0.0,0.0,0.0,0.012745776424503568
19980731,1999-07-31,1999,7,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.01253665253629591,0.24894882677745905,0.0,0.0,0.0,0.01253665253629591
19980831,1999-08-31,1999,8,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.007647795908899807,0.15186747925268645,0.0,0.0,0.0,0.007647795908899807
19980930,1999-09-30,1999,9,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",-0.006972941650815275,-0.13846643975593773,0.0,0.0,0.0,-0.006972941650815275
19981030,1999-10-31,1999,10,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.004809954948122517,0.09551454327387224,0.0,0.0,0.0,0.004809954948122517
19981130,1999-11-30,1999,11,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.011972520216707076,0.23774646803757304,0.0,0.0,0.0,0.011972520216707076
19981231,1999-12-31,1999,12,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.019523927823358565,0.38769989928659054,0.0,0.0,0.0,0.019523927823358565
19990129,2000-01-31,2000,1,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.0002537289641086856,0.005038468423005586,0.0,0.0,0.0,0.0002537289641086856
19990226,2000-02-29,2000,2,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.011041730176424397,0.21926313783171109,0.0,0.0,0.0,0.011041730176424397
19990331,2000-03-31,2000,3,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.01444757452226286,0.2868953029274858,0.0,0.0,0.0,0.01444757452226286
19990430,2000-04-30,2000,4,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.010688388022473636,0.2122465826211085,0.0,0.0,0.0,0.010688388022473636
19990528,2000-05-31,2000,5,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.007223775033050186,0.143447408642426,0.0,0.0,0.0,0.007223775033050186
19990630,2000-06-30,2000,6,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.012058864298166626,0.2394610611250263,0.0,0.0,0.0,0.012058864298166626
19990730,2000-07-31,2000,7,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.004476380575630134,0.08889053032986007,0.0,0.0,0.0,0.004476380575630134
19990831,2000-08-31,2000,8,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.00019104388552480898,0.0037936882295104835,0.0,0.0,0.0,0.00019104388552480898
19990930,2000-09-30,2000,9,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",-0.0050268269997193514,-0.0998211189446536,0.0,0.0,0.0,-0.0050268269997193514
19991029,2000-10-31,2000,10,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.015569997621773897,0.30918402098537273,0.0,0.0,0.0,0.015569997621773897
19991130,2000-11-30,2000,11,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",-0.02451074957626865,-0.4867266068659077,0.0,0.0,0.0,-0.02451074957626865
19991231,2000-12-31,2000,12,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",-0.011017562922370935,-0.21878323224881116,0.0,0.0,0.0,-0.011017562922370935
20000131,2001-01-31,2001,1,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.000389393037520024,0.007732442098499805,0.0,0.0,0.0,0.000389393037520024
20000229,2001-02-28,2001,2,"AP-tree + RM AP-pruning (static, no TC, lagged trade)",0.027474838800819527,0.5455865403911672,0.0,0.0,0.0,0.027474838800819527
