"yy","mm","date","permno","ret","LME","OP","Investment","size"
1975,1,19740131,"10006",0.0405778135876091,0.913433976686413,0.440765492102066,0.21658359764386,324.447412927182
1975,1,19740131,"10014",0.0422628947515956,0.422319892986814,0.262150668286756,0.180788400543725,10.2452887709943
1975,1,19740131,"10057",0.117937583821046,0.722147907510032,0.158262454434994,0.159039420027186,47.9894978054961
1975,1,19740131,"10102",0.00782986596658523,0.858589719090388,0.281287970838396,0.304938830992297,152.910398391289
1975,1,19740131,"10137",0.00635020446678251,0.940951652971527,0.664034021871203,0.591300407793385,495.768460504264
1975,1,19740131,"10145",-0.0543298517433221,0.978597362889356,0.440461725394897,0.206615314907114,1350.25734747116
1975,1,19740131,"10153",0.07375529052031,0.811007070514046,0.187424058323208,0.409605799728138,92.6375319785958
1975,1,19740131,"10161",-0.00813608101932872,0.976495318173132,0.294349939246659,0.618486633439058,1223.42695008223
1975,1,19740131,"10188",0.0604721855069725,0.685839862411619,0.567132442284326,0.224739465337562,38.2341231141272
1975,1,19740131,"10225",0.160454685578574,0.967131664437225,0.797083839611179,0.236520163117354,848.282252806518
1975,1,19740131,"10233",0.0326796558486716,0.924326390215937,0.723876063183475,0.464884458541006,385.677229095935
1975,1,19740131,"10241",0.131378966495469,0.936174278616472,0.542527339003645,0.169913910285455,465.870948301166
1975,1,19740131,"10321",0.399430036670101,0.889738199885343,0.49453219927096,0.516538287267784,225.410254721529
1975,1,19740131,"10364",0.00480787350513714,0.953563921268871,0.10722964763062,0.506116900770276,609.957116672646
1975,1,19740131,"10372",0.139668380997528,0.846168545767246,0.981166464155529,0.0484821024014499,133.691324308161
1975,1,19740131,"10401",-0.00376897792059397,0.999808905025798,0.550729040097205,0.576801087449026,27833.7112726525
1975,1,19740131,"10460",0.1733437479615,0.76227785209249,0.702308626974484,0.371998187584957,64.7257493952402
1975,1,19740131,"10479",0.210565189460255,0.804318746416969,0.496354799513973,0.136384231989125,88.3613775970315
1975,1,19740131,"10487",0.0776571602728997,0.827250143321231,0.374544349939247,0.375623017671047,107.849213244997
1975,1,19740131,"10495",-0.0550511554867787,0.950124211733231,0.135783718104496,0.533303126415949,576.553842009437
1975,1,19740131,"10516",0.141219419695126,0.908656602331359,0.408262454434994,0.656547349343,294.447429621759
1975,1,19740131,"10541",0.29117412736714,0.0487292184215555,0.0823207776427703,0.0747621205256004,1.31734641276407
1975,1,19740131,"10559",-0.0993991061227264,0.920504490731894,0.484507897934386,0.840960579972814,355.899607667353
1975,1,19740131,"10604",-0.109355882401597,0.995031530670743,0.544349939246659,0.140915269596738,4972.95757688779
1975,1,19740131,"10727",-0.10033638369271,0.406459010128034,0.157654921020656,0.0276393294064341,9.38041595369408
1975,1,19740131,"10743",-0.0420448752283601,0.59908274412383,0.602673147023086,0.60081558676937,23.428985288448
1975,1,19740131,"10751",0.0108736508555306,0.911523026944391,0.841433778857837,0.25736293611237,303.382885515405
1975,1,19740131,"10786",-0.0444320678581393,0.981654882476591,0.240583232077764,0.368826461259628,1467.89792767419
1975,1,19740131,"10823",0.0258539017611319,0.826676858398624,0.570170109356015,0.520163117353874,107.608231418694
1975,1,19740131,"10866",0.205996449965677,0.862793808522836,0.579283110571081,0.66787494336203,161.158781580698
1975,1,19740131,"10874",-0.0253910018143128,0.902159373208485,0.541008505467801,0.434979610330766,272.537300744087
1975,1,19740131,"10890",-0.0522839155736803,0.994076055799732,0.740886998784933,0.172632532850023,3866.50630550905
1975,1,19740131,"10911",0.346674718742082,0.461494362698261,0.0428311057108141,0.00589034888989579,12.0055690915064
1975,1,19740131,"10970",0.0426132978039526,0.965029619721001,0.527642770352369,0.323516085183507,805.258044154057
1975,1,19740131,"10989",0.114574869923798,0.955474871010892,0.694714459295261,0.295876755777073,637.994285943147
1975,1,19740131,"11017",0.267918862139538,0.690808331740875,0.135176184690158,0.633439057544178,39.5313380197895
1975,1,19740131,"11041",-0.099660381554611,0.975539843302121,0.143377885783718,0.299048482102401,1164.54342654716
1975,1,19740131,"11084",-0.0176221659566277,0.183451175234091,0.818347509113001,0.514272768463978,3.3736073763675
1975,1,19740131,"11092",0.188656721632002,0.830116567934263,0.163122721749696,0.900770276393294,111.306975549064
1975,1,19740131,"11105",0.101026854352539,0.861073953755016,0.691373025516403,0.822836429542365,158.190567205849
1975,1,19740131,"11113",0.974393930337631,0.112554939805083,0.136695018226002,0.00362483008608971,2.35093244893095
1975,1,19740131,"11156",0.0261946594158698,0.942480412765144,0.214459295261239,0.166289080199366,516.68379783047
1975,1,19740131,"11164",0.198585230944447,0.851328110070705,0.297995139732685,0.608971454463072,140.657700526649
1975,1,19740131,"11260",0.170582402467065,0.965985094592012,0.64003645200486,0.530584503851382,815.367435228556
1975,1,19740131,"11295",0.159579429173197,0.730938276323333,0.464763061968408,0.258269143633892,51.234928118484
1975,1,19740131,"11308",0.00981329674929941,0.998089050257978,0.902187120291616,0.578613502492071,7545.90246991038
1975,1,19740131,"11332",0.255857454349491,0.818650869482133,0.62363304981774,0.690530131400091,100.044136413768
1975,1,19740131,"11340",0.0647284204287721,0.96579399961781,0.661300121506683,0.491617580425918,814.793620636691
1975,1,19740131,"11404",0.142665532601658,0.972100133766482,0.301640340218712,0.441776166742184,1031.97363332532
1975,1,19740131,"11447",0.233787447147064,0.952226256449455,0.652490886998785,0.174444947893068,597.594429885349
1975,1,19740131,"11471",-0.0912593838341712,0.991400726160902,0.794653705953827,0.404168554599003,2727.91976765821
1975,1,19740131,"11498",0.119300421838237,0.655073571565068,0.471445929526124,0.222927050294517,31.606240891413
1975,1,19740131,"11607",0.18555129849275,0.904834702847315,0.722964763061968,0.650657000453104,281.258474291962
1975,1,19740131,"11658",0.0940142484589305,0.879036881330021,0.516707168894289,0.213864975079293,190.265983021553
1975,1,19740131,"11674",0.0730752776030441,0.956812535830308,0.39823815309842,0.684186678749434,650.870923894006
1975,1,19740131,"11690",0.0820427962764409,0.909420982228167,0.285540704738761,0.629361123697327,298.811243360785
1975,1,19740131,"11703",0.118316681641175,0.997706860309574,0.710510328068044,0.418667874943362,7539.13863531407
1975,1,19740131,"11746",0.068769972810774,0.848843875406077,0.390947752126367,0.370185772541912,137.901010993957
1975,1,19740131,"11754",-0.0856589965810355,0.999426715077393,0.820170109356015,0.653828726778432,18739.2479003586
1975,1,19740131,"11850",-0.112600536888412,0.999617810051596,0.767010935601458,0.388309922972361,21071.4108655385
1975,1,19740131,"11949",0.346533436154035,0.613223772214791,0.121506682867558,0.114182147711826,24.9825648861635
1975,1,19740131,"11981",-0.0176311281155879,0.925664055035353,0.160996354799514,0.275033982782057,392.997408660256
1975,1,19740131,"12036",0.0490112961628859,0.960061150391745,0.342345078979344,0.217489805165383,708.38143752447
1975,1,19740131,"12044",0.116117817365273,0.598318364227021,0.276427703523694,0.198912550974173,23.3526309274086
1975,1,19740131,"12052",0.00775438693908085,0.885151920504491,0.501215066828676,0.0403262347077481,211.766364171709
1975,1,19740131,"12060",-0.0222678035392035,0.998853430154787,0.744835965978129,0.431354780244676,11473.621895226
1975,1,19740131,"12079",0.126888857800285,0.999235620103191,0.917375455650061,0.173085636610784,13179.2043465965
1975,1,19740131,"12087",0.393080454691002,0.5262755589528,0.158566221142163,0.307204349796103,16.0398909375756
1975,1,19740131,"12095",-0.0467750597912181,0.893942289317791,0.411907654921021,0.965564114182148,236.780339535596
1975,1,19740131,"12140",0.0516858833962689,0.894133384291993,0.555893074119077,0.31717263253285,237.219470356339
1975,1,19740131,"12167",0.112348121793792,0.782342824383719,0.260631834750911,0.382872677843226,74.8908423331501
1975,1,19740131,"12271",0.197342185267086,0.66405503535257,0.467496962332928,0.288173991844132,33.2628987654712
1975,1,19740131,"12319",0.211760537689064,0.926237339957959,0.179222357229648,0.240144993203444,394.70619480064
1975,1,19740131,"12343",0.0058371392976382,0.847315115612459,0.497569866342649,0.317625736293611,135.698895367824
1975,1,19740131,"12431",-0.167074347735326,0.982610357347602,0.91221142162819,0.530131400090621,1488.90001313244
1975,1,19740131,"12458",0.0740373696656239,0.943244792661953,0.412818955042527,0.415496148618034,523.210383676886
1975,1,19740131,"12466",0.167052904165344,0.814828969998089,0.508809234507898,0.915722700498414,97.4384498945396
1975,1,19740131,"12490",-0.0936139759700906,1,0.894289185905225,0.627095604893521,35831.5835216402
1975,1,19740131,"12503",0.0147201938527971,0.959870055417543,0.30498177399757,0.640688717716357,703.171607147905
1975,1,19740131,"12511",0.0328893651261768,0.930059239442003,0.45321992709599,0.105573176257363,419.920922483577
1975,1,19740131,"12538",0.410983684107291,0.677049493598318,0.080498177399757,0.424558223833258,36.3965723243744
1975,1,19740131,"12546",0.00524547787634765,0.9912096311867,0.247569866342649,0.150430448572723,2627.36709080393
1975,1,19740131,"12570",0.0462093051867268,0.990636346264093,0.914337788578372,0.6343452650657,2476.57669411998
1975,1,19740131,"12626",0.122134650820509,0.892795719472578,0.608444714459295,0.594019030357952,232.330770912003
1975,1,19740131,"12650",-0.175720899841157,0.653353716797248,0.228736330498177,0.334390575441776,31.3442275353151
1975,1,19740131,"12669",0.24857164172619,0.772979170647812,0.280680437424058,0.274127775260535,70.2241048156832
1975,1,19740131,"12706",-0.00223631250033056,0.981463787502389,0.196233292831106,0.1717263253285,1467.35149445154
1975,1,19740131,"12730",0.0415894488768674,0.973437798585897,0.596294046172539,0.415043044857272,1066.43536619084
1975,1,19740131,"12749",-0.0168106940543696,0.99388496082553,0.568347509113001,0.861350249207068,3837.55949622379
1975,1,19740131,"12781",0.0860373263007258,0.787884578635582,0.717193195625759,0.439510647938378,77.3878124945444
1975,1,19740131,"12802",0.123730661253819,0.464742977259698,0.232685297691373,0.940643407340281,12.3164894819104
1975,1,19740131,"12837",0.113222127973186,0.8947066692146,0.416160388821385,0.333031264159493,238.622778876479
1975,1,19740131,"12888",-0.031700729188665,0.878463596407414,0.399453219927096,0.724966017217943,190.169805238037
1975,1,19740131,"12933",0.0236181878704747,0.478884005350659,0.581105710814095,0.999546896239239,13.0534992464896
1975,1,19740131,"12976",-0.0115489303534393,0.870819797439327,0.53584447144593,0.273674671499773,179.727729789781
1975,1,19740131,"12984",-0.017222136324377,0.67017007452704,0.290704738760632,0.414589941096511,34.2140294209825
1975,1,19740131,"13012",0.0245740826607634,0.488056564112364,0.530072904009721,0.743996375169914,13.5577073708766
1975,1,19740131,"13047",-0.0474771870227,0.981845977450793,0.899149453219927,0.48889895786135,1470.24278008694
1975,1,19740131,"13100",0.0650914971560606,0.917255876170457,0.46415552855407,0.457181694608065,338.829339585145
1975,1,19740131,"13119",-0.0629354870283968,0.917064781196255,0.949574726609964,0.743090167648392,338.3490769464
1975,1,19740131,"13135",-0.0533809895444892,0.844830880947831,0.0671324422843256,0.0579972813774354,130.955223870983
1975,1,19740131,"13143",0.402612244009352,0.72367666730365,0.286148238153098,0.480289986406887,48.8322695194576
1975,1,19740131,"13290",0.0909125494951758,0.575195872348557,0.510631834750911,0.517444494789307,20.7382444404071
1975,1,19740131,"13303",0.246239372828407,0.900630613414867,0.275820170109356,0.57453556864522,266.872130306286
1975,1,19740131,"13311",0.00842657936859983,0.948022167017007,0.790097205346294,0.498414136837336,565.500261768373
1975,1,19740131,"13354",0.193734001906719,0.915918211351041,0.340218712029162,0.282283642954237,334.401081393229
1975,1,19740131,"13370",0.491354625020309,0.585515000955475,0.0981166464155529,0.025373810602628,21.8151049356199
1975,1,19740131,"13522",-0.0552108230432735,0.963500859927384,0.251215066828676,0.0312641594925238,763.160641012783
1975,1,19740131,"13557",0.0250167241672953,0.866424613032677,0.590826245443499,0.375169913910285,167.630645334108
1975,1,19740131,"13610",0.0424422040261153,0.90961207720237,0.349635479951397,0.0679655641141821,299.338330476812
1975,1,19740131,"13637",-0.0118646514325553,0.909229887253965,0.506986634264885,0.271409152695967,296.999856925419
1975,1,19740131,"13653",0.0322604031263162,0.447162239633098,0.543134872417983,0.587675577707295,11.2653931124706
1975,1,19740131,"13661",-0.00329907559866235,0.936938658513281,0.460814094775213,0.453103760761214,472.414927244013
1975,1,19740131,"13688",0.0443402201422596,0.982992547296006,0.576245443499392,0.450385138196647,1490.40603040604
1975,1,19740131,"13821",0.11722754316657,0.932543474106631,0.823207776427703,0.462165835976439,442.638371648192
1975,1,19740131,"13856",-0.0140013361400177,0.98509459201223,0.639125151883354,0.635251472587222,1634.44223740397
1975,1,19740131,"13901",-0.0103770817217093,0.992356201031913,0.796172539489672,0.811961939284096,3009.31828414757
1975,1,19740131,"13928",-0.249421685849927,0.99560481559335,0.385176184690158,0.270956048935206,5137.95155382398
1975,1,19740131,"13936",-0.00942025603797493,0.680107013185553,0.446537059538275,0.221567739012234,37.2015694441724
1975,1,19740131,"14066",-0.0432030031085702,0.943818077584559,0.180741190765492,0.55595831445401,527.735404138804
1975,1,19740131,"14090",0.042719765083146,0.979361742786165,0.960510328068044,0.288627095604894,1377.73253117627
1975,1,19740131,"14189",0.165724937178441,0.924708580164342,0.171628189550425,0.240598096964205,388.278354038763
1975,1,19740131,"14197",0.162039149739471,0.0861838333651825,0.17588092345079,0.0493883099229724,1.93857614796065
1975,1,19740131,"14218",0.0143031927722645,0.985667876934837,0.917982989064399,0.774807430901676,1688.80483855685
1975,1,19740131,"14250",0.111744566705893,0.911714121918594,0.31318347509113,0.821477118260082,304.331952548821
1975,1,19740131,"14277",-0.215058900196227,0.994649340722339,0.647326852976914,0.392840960579973,4807.05124531419
1975,1,19740131,"14306",0.280517177644415,0.35352570227403,0.421931956257594,0.111010421386498,7.5828736222051
1975,1,19740131,"14322",0.0486510101144143,0.999044525128989,0.410388821385176,0.611236973266878,12572.577203909
1975,1,19740131,"14357",-0.149044904646363,0.994458245748137,0.397023086269745,0.583597643860444,4574.66639594969
1975,1,19740131,"14402",0.435734603503389,0.808331740875215,0.318043742405832,0.46624376982329,91.0284776189122
1975,1,19740131,"14437",-0.0985676670078733,0.964265239824193,0.349939246658566,0.292705029451744,782.78635214752
