"V4","V6","V9","V10","V20","V24","V26","V30","V57","V61"
0.103243040286122,0.0315606124473282,0.0884046896026062,0.0602245269688639,0.108881451693726,0.059558290041427,0.0263924802908127,0.091612221677755,0.0141183349909933,0.0404427299019965
-0.0115757808210976,-0.0484315868536707,-0.0142236080431886,-0.00185195611521074,-0.00316559775871496,-0.00373144045764331,-0.0115788069103951,-0.0104180251022487,0.039254769837245,0.0755912214073652
-0.0208612098985227,-0.00167699080146995,-0.0546323001617371,0.0138990300782953,0.00715137169899204,0.0127537988895345,0.00999310243353051,0.00410615561558691,0.0686013549895551,-0.00257863243630137
0.0870343914141341,0.0875283207988758,-0.119560389256473,0.0386764813325731,0.0328068387820709,-0.00137650422643154,0.0558795986398073,0.0369562232576651,0.128588881473597,0.00547214000702523
0.00478575184271092,0.0817804704052877,0.107489590123797,-0.00821539538342809,0.0452041905151311,0.0387701550375208,0.025866561488883,0.0315584133937246,-0.0377621725392135,0.0358563165447228
-0.011209664545393,-0.0355076608982258,-0.0503819859339297,0.0351040852114254,-0.0250956849738475,-0.0322248020333389,-0.00895691539972989,0.00915425923226988,0.0769336422889982,-0.0153948757937383
-0.00411676699718276,-0.00587071977172667,-0.0393135871042241,0.00905586305264243,-0.00493486471276853,-0.0523599025351585,-0.0479760748999508,-0.00739610721835366,-0.0877221912993298,-0.0634070924734576
0.01943574258326,0.0143579078723814,0.0840781866915145,-0.0740708696520151,0.0616900752813801,0.0188468694970903,0.0280891418008689,0.0495548242928109,0.0530141068758182,0.0441125788759407
-0.0213466499710474,-0.00026301014374132,-0.0326573604940633,-0.0635218862311218,-0.0226317695868054,-0.00992472225773054,0.00546719614191624,-0.034915526890553,-0.0409396468827011,-0.114699156205844
0.0530080326862128,0.00750771561730651,0.012140994085892,-0.0360201670742977,0.0147479737975498,0.0196066938672647,0.0390940630092724,-0.00284316257969343,0.0233247974583835,0.0368245309117394
0.0130948123467267,0.0209589993609915,-0.014436978197358,-0.0409733918934783,-0.0382882341387089,-0.00394143189491095,-0.0170508561394618,-0.0344977615905799,-0.0178335604006325,-0.0387595695738021
-0.0345617943818348,0.0063158797429171,0.0678067694891452,0.0627369693667843,0.0213109572655267,0.0197833034890635,-0.00847786167634828,0.0304489748203439,0.0679101092717549,0.0132637651889638
-0.00363331331557605,0.0399870487507411,0.0441292756457051,-0.0687241951012786,0.0122348170715736,-0.0209582133956382,0.00962668568320863,0.0425088785501323,-0.0136286620098621,0.113621347618451
0.0362999449335659,0.0077103065772919,-0.0210232399335775,0.0776833472071209,-0.00527005279158208,0.0322305487212388,0.0104370298218854,0.0241868805866508,-0.00709194578165568,0.0658522162152688
0.0896745444136173,-0.00699936496460068,0.271346828477871,0.0742084276680829,0.0619263860103601,-0.018723751190345,0.0211136076988569,0.00337002704921703,0.0696058983851805,0.0390079794306818
-0.0480759084670495,-0.00501160845603764,-0.125413920019387,0.0007681553503065,0.00126199288117078,-0.0137970810024777,0.0161903770168131,-0.000846381038527116,0.0436697405310837,-0.0560663904067936
0.0246135154295117,-0.00831429271874386,0.134476126272649,-0.0183415721351996,0.0330150794414162,-0.061715373620558,0.00218587911845045,0.0405989765221568,-0.0298151863291402,0.0183115606770672
-0.0132640611562031,0.0104546956058946,-0.0394953711062346,-0.0383540329877645,-0.0306186651535003,0.103823363767746,-0.0224946170431293,0.0218589452606174,0.0720440096213357,-0.0438776264788301
0.00931938008886282,0.0725269804206792,0.0784198428603799,-0.0401845930142604,0.0288843683849631,0.0395330470897657,0.00850634271558009,0.042683808023293,0.0388858097306734,0.0463374389404584
-0.001877694602631,-0.0206516020186634,-0.0528757111471347,0.0305684529207157,0.0203789782302338,-0.0158954413742784,-0.00538063187519717,0.0118512781271318,-0.000540352829682084,-0.0234623495915247
-0.0044214405534363,0.0642279936170639,0.00118569412644817,0.0302118770815567,0.0448718581403162,0.0291640800321684,0.0263989516983573,0.0485957352504885,0.0328707179891592,0.0629005927021016
0.0175659544552319,0.088571894994833,0.0768773642834641,0.011143525409967,-0.0252411422506248,-0.0169380800244943,-0.0328608831552717,0.0182934142293601,0.0160410760487042,0.0168433659183795
-1.45994996019663e-05,-0.00371145947707294,0.0631347365376376,0.00944476213907656,4.71410677035044e-05,0.0179490037752971,-0.0198448632064004,-0.0163741208971995,0.0185525589207705,0.00118228805026787
0.0103147825515421,-0.00232741195549621,-0.0270168084024976,0.00401389891739421,0.0221365343445736,-0.0261165433168664,-0.00738729165905527,-0.0154056358655928,-0.0302211322049694,0.00932042401494874
0.0514735922457623,0.0654504315963694,0.0372797404938038,0.0659548711158216,0.0316475836965883,0.068827014313083,0.00773052223522698,0.0230334611957364,0.0606295935315544,0.0112967683346871
0.0328169712938376,0.0632111866439643,0.0377173978667745,0.0951977543508493,0.0201023811265127,0.0293307246844286,0.0600933202495256,0.0205227665263215,-0.00244597910561761,-0.037388355515092
-0.0108194069088947,0.0138831725271539,0.0161922537014118,-0.00632993940201914,0.00131189596310554,-0.0199715356190348,0.019895945356256,0.000981229068108968,0.0139404340816213,-0.0510015397664576
0.0187135866778987,0.0587363096608054,0.0444722755749856,0.0808605313071431,0.0394774127343342,0.0878031919035036,0.0661261719492688,0.0726042052146205,0.0241474247002818,0.0152233629641041
0.0118830376809342,0.0385492266463179,0.0554473109050015,-0.0126091721510591,-0.0142286968832521,0.00641487668797915,-0.0456937909982126,-0.0561756314412372,-0.0262558132225105,0.0826982303422429
-0.101060966054599,-0.119451117398175,-0.0839390552029157,0.0352389083218667,-0.0800895464882594,-0.108206162637797,-0.0747287609358808,-0.0556802629565838,-0.0236667074488095,-0.0691473108450678
0.0371259353924073,-0.0246769367634248,0.0462109240070678,0.0587714375353113,-0.0190630422482062,0.0293912460839038,0.00773769448099126,0.00952644848623772,-0.00287456577923329,-0.0318638242985391
0.0366973252530091,-0.0176613449161285,0.0665225937049086,0.110351130057447,0.0868144465350826,0.0801199485486964,-0.00213885665283927,0.0539625936304583,0.0392617910733182,0.0218859506916924
0.0165396727947824,0.0654541732103211,0.0600324820197009,0.098729114360532,0.0240084046070658,0.0314620635488881,0.0392575032509219,-0.0156137009091907,0.0110905759486366,0.0960351454903338
0.127548887090359,0.0232656294925842,0.00386491615763318,0.112270432275756,0.0692844921668453,0.0866566047529087,0.0289471205261704,0.0317186500258016,0.027361087500027,-0.0214830969110766
0.0572812390684342,0.109603547567221,0.00523528842062247,-0.0782808749823948,0.141494217854365,0.0431193710197106,0.0373910028935158,0.00997389217918533,-0.0294081961121297,-0.0160351142113031
0.101958188444315,0.0502176771522085,0.0956692374444496,0.0812040844686708,0.0263460658739431,0.0358377946139617,0.0601837847354264,0.0533144188823821,0.00622141290766715,-0.0225708007946963
0.0981450933962197,0.0483594440139769,0.0784233884865249,0.154159617677432,0.06837788139813,0.0303168390766632,-0.00768783754337544,0.062336900730719,0.00727548170472943,-0.0145247177576253
0.0348399675921889,0.0428383170325054,0.0387491956782275,-0.0390028864478573,0.0592936394835166,0.027507617444511,-0.0442442710318399,-0.0406231847861447,-0.0193526622741491,-0.0251704822055846
0.00945958091420001,-0.0421643902350008,-0.0441565116692204,-0.0170854785277009,-0.0445340861241921,-0.00761166871357819,-0.0187427954769425,-0.064283241361911,-0.00319634088940782,-0.0715446460884851
-0.00717575843963148,0.10714132399755,0.0902968999657891,0.0376477926415554,0.0641722232307808,-0.0266470570736142,-0.00297877139500178,0.00988041609655121,0.0219402752197647,-0.0220847870243383
-0.114190082467686,-0.076111552520459,-0.0531241708450026,-0.079892343722134,-0.146180658687955,-0.0762984989163879,-0.0224025487513101,-0.0115425644893575,-0.0547253474082923,-0.04929943401944
-0.0148200755609655,-0.0112268137026671,-0.0199505382442213,0.040937061362306,0.0278141422316637,-0.0288880678069461,-0.0174684415103895,0.00370558904088007,-0.0225155137880087,0.0100647304041519
0.0108765065501683,-0.0322869309108732,-0.0337497608759902,-0.0468194466193832,-0.00582712598762271,-0.0157569355769005,-0.00550983957729299,-0.00802572540022581,-0.0110352702230526,0.015145087937286
-0.129789642463313,-0.11398404345654,-0.113843560239597,-0.110810296256318,-0.111232697287419,-0.101408739755555,-0.0317551847261617,-0.125947284448988,-0.109152302637529,-0.0484604847706548
0.00204511713944948,0.0106658330834175,0.0225291738804365,-0.0229638146191062,-0.0231301584164604,0.0100279398365616,-0.0174000174722122,-0.0637552068233723,0.0155607414338462,0.0191322913998985
-0.0299366684375591,-0.00188663863010611,0.0132688005100433,-0.0407502604057838,-0.0525847476173831,-0.00251110681197771,0.0375337341853213,-0.0225231405666181,0.0874709314515401,-0.031836377320958
-0.0174813691368369,0.0144389713446855,0.019210733151039,0.0715213615701277,0.049784100072478,0.0371815668809579,0.021795769272617,0.0631027823733861,-0.0248514036688629,0.000721069602560411
