"train_SR","test_SR","portsN","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64"
0.332500735127799,0.389715749348443,5,0,0,0,0,0,0.32611096587784,0,0,0.515157336526496,0.189289397830176,0,0,0,0,0,0,0,0,0,-0.436313181029952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405755480795441,0,0,0
0.342812975585131,0.404034517540237,6,0,0,0,0,0,0.33716391383238,0,0,0.509223755517214,0.195721885148469,0,0,0,0,0,0,0,0,0,-0.481375267157659,0,0,0,0,0,0.0325559740896146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406709738569981,0,0,0
0.343721303407323,0.405294363231105,7,0,0,0,0,0,0.33803640024379,0,0,0.508482875224395,0.196230567144529,0,0,0,0,0,0,0,0,0,-0.485163478171591,0,0,0,0,0,0.0349481426592637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406228197591644,0.00123729530796854,0,0
0.36760263672485,0.436466908707382,8,0,0,0,0,0,0.3611170013974,0,0,0.489157742246172,0.208157244899408,0,0,0,0,0,0,0,0,0,-0.585663552652472,0,0,0,0,0,0.0934188193106208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181023116752249,0,0,0,0.388945463864784,0.0267649692588627,0,0
0.466720353347054,0.510907493713459,9,0,0,0,0,0,0.451122009889635,0,0,0.439345021725391,0.250571465143062,0,0,0,0,0,0,0,0,0,-0.64161240742425,0,0,0,-0.37538010421265,0,0.311350030347567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0772926032142681,0,0,0,0.345445586054253,0.141865795262725,0,0
0.486926628662187,0.52168936209989,10,0,0,0,-0.0308754464157187,0,0.478985024027308,0,0,0.437266048035204,0.262102329328793,0,0,0,0,0,0,0,0,0,-0.643981226373653,0,0,0,-0.440995339290228,0,0.354277152149687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0873838121362231,0,0,0,0.333427974576155,0.16240967182623,0,0
0.493789593244129,0.523946673324183,11,0,0,0,-0.0401928283180022,0,0.486978905778502,0,0,0.436035282649134,0.264788602481103,0,0,0,0,0,0,0,0,0,-0.646889763363821,0,0,0,-0.46474009850322,0,0.362630768105418,0,0,0,0.0132465997134458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0906215227159588,0,0,0,0.329050081863557,0.168470926877924,0,0
0.50159661279754,0.525975670310952,12,0,0,0,-0.0492741706178172,0,0.494056306794506,0,0,0.434805197859505,0.266989196920889,0,0,0,0,0,0,0,0,0,-0.647834378148949,0,0,0,-0.485273884487237,0,0.373423462468217,0,0,0,0.0282283250194485,0,0,0,0,0,-0.0112969332984397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0944716827237937,0,0,0,0.324661560456996,0.177043634309088,0,0
0.516609565680567,0.527888980087882,13,0,0,0,-0.062963096982814,0,0.511386077285774,0,0,0.435257248201808,0.27190160835297,0,0,0,0,0,0,0,0,-0.0276369708244919,-0.647021561849066,0,0,0,-0.514311601192232,0,0.394376469082654,0,0,0,0.0557779889496506,0,0,0,0,0,-0.0279165437153353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103708973968141,0,0,0,0.318059450277224,0.189381958445717,0,0
0.56242579825726,0.52872758459429,14,0,0,-0.0703722724900269,-0.0922801069618602,0,0.578288434092611,0,0,0.447206553565711,0.288498670070485,0,0,0,0,0,0,0,0,-0.109717928958161,-0.63047499806022,0,0,0,-0.590302396906047,0,0.462494775100022,0,0,0,0.14671791081522,0,0,0,0,0,-0.0870933100564833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130243976122623,0,0,0,0.302890834765975,0.223899858900149,0,0
0.562562802063263,0.528724199513339,15,0,0,-0.0705972446725961,-0.0923865915809849,0,0.578463305381231,0,0,0.447206543027811,0.288522378120926,0,0,0,0,0.000201871446840608,0,0,0,-0.109967144603288,-0.630416835635327,0,0,0,-0.590582276341417,0,0.462676459624886,0,0,0,0.146980875166141,0,0,0,0,0,-0.087281508088823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130329016711067,0,0,0,0.302844271919899,0.224006879523633,0,0
0.583778385339145,0.52612161572831,16,0,0,-0.105863670399849,-0.106337877534862,0,0.603944814755317,0,0,0.446849615243692,0.293690610637129,0,0,0,0,0.0269047515586771,0,0,0,-0.150958781825116,-0.622193656997169,0,0,0,-0.634405696969623,0,0.483044075692495,0,0,0,0.186860592503593,0,0,0,0,0.0300222694601195,-0.122218697638172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135599597225394,0,0,0,0.29830934286874,0.236752711419635,0,0
0.593641634574121,0.523862967806585,17,0,0,-0.122234814095283,-0.112319496275114,0,0.614523737345717,0,0,0.447131392906805,0.296042460511274,0,0,0,0,0.0414989366897258,0,0,0,-0.171800311232158,-0.617919931212213,0,0,0,-0.654938892752132,0,0.489139161882737,0,0,0,0.206288900600426,0,0,0,0,0.0424243144751323,-0.142104163102203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191979661556655,0,0.134602774078891,0,0,0,0.292474899715343,0.237993064307387,0,0
0.6108711174844,0.51081976530581,18,0,0,-0.140232599959867,-0.110189277559961,0,0.622806689835687,0,0,0.448849676219337,0.305871895755624,0,0,0,0,0.0634191143164851,0,-0.0808040915519852,0,-0.190350712364672,-0.59894962441657,0,0,0,-0.67397017528273,0,0.510167796864952,0,0,0,0.243190801819345,0,0,0,0,0.0628229708351901,-0.167842698912894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042340240127966,0,0.135831667978465,0,0,0,0.286957007431866,0.240081318863762,0,0
0.611211423715744,0.510694292359811,19,0,0,-0.140522999135824,-0.110080199886687,0,0.622840310338552,0,0,0.448743720772459,0.306019269248367,0,0,0,0,0.0638450892528323,0,-0.0821201078756904,0,-0.190595385752841,-0.598223451818327,0,0,0,-0.67391436078363,0,0.510644209779302,0,0,0,0.244007818860148,0,-0.00140863915978899,0,0,0.0632918034633651,-0.168133251731005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0428114426212076,0,0.135798467778122,0,0,0,0.286901821358434,0.240094442671004,0,0
0.61181164165803,0.510646924803661,20,0,0,-0.141014429131237,-0.109742242280523,0,0.622436503072211,0,0,0.448376519084511,0.306215956361522,0,0,0,0,0.064417454786187,0,-0.0844144852214585,0,-0.191046917668123,-0.596958061806574,0,0.00226668343126214,0,-0.673886161155538,0,0.510919510810928,0,0,0,0.245016023910703,0,-0.00373601881192019,0,0,0.0639176328310805,-0.168652895666324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0434424812745284,0,0.135673770873162,0,0,0,0.286823478215213,0.239945197090389,0,0
0.633300282302299,0.508173294730942,21,0,0,-0.156608795260509,-0.0987453270778516,0,0.614011681097712,0,0,0.438278957025561,0.313328297232896,0,0,0,0,0.0884291662272263,0,-0.141711056976688,-0.0601292129619858,-0.202389713551617,-0.555470681202747,0,0.0836500453245247,0,-0.672068699934547,0,0.522968921623803,0,0,0,0.277916000095178,0,-0.0766357576043733,0,0,0.0880408338384509,-0.181207598835095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0647343443936379,0,0.135227552727418,0,0,0,0.285017405074355,0.233363638744651,0,0
0.633888686337082,0.508081319399203,22,0,0,-0.156971426111799,-0.0983769264726851,0,0.61372888753879,0,0,0.437988949979587,0.313513967547098,0,0,0,0,0.0890769910745508,0,-0.143356294407215,-0.0619044679999554,-0.202744496317656,-0.554158000426289,0,0.0859864357277176,0,-0.672022934548927,0,0.523221155912696,0,0,0,0.278746892095816,0,-0.0787687894251038,0,0,0.08871004260299,-0.181587721683123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0649015466079808,0,0.13514093599858,0,0.00105742054921295,0,0.284861940901294,0.23295589085644,0,0
0.644395861738021,0.507862759932565,23,0,0,-0.162659600176486,-0.0895644776644286,0,0.609469527433933,0,0,0.43217921146669,0.317497790946137,0,0,0,0,0.102783669588671,-0.0151063030937044,-0.172079809148697,-0.0938422218625807,-0.207977423129615,-0.528090124886406,0,0.129462624868189,0,-0.670053441257716,0,0.527391547415914,0,0,0,0.295826880739394,0,-0.113504534071019,0,0,0.0994321341696619,-0.188530540572172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0663380214357076,0,0.133788369876682,0,0.0200592891821818,0,0.281912366627738,0.225267042111926,0,0
0.658506620350513,0.508463890413043,24,0,0,-0.173532726561926,-0.0753721301494411,0,0.590564496110636,0.0535715350030274,0,0.415279211060168,0.31642865015382,0,0,0,0,0.114763097716344,-0.0372155462361542,-0.212888252853452,-0.14041588613867,-0.209905325062148,-0.49994792438478,0,0.186002281384778,0,-0.664275123064127,0,0.535147742523041,0,0,0,0.309558262518671,0,-0.16029056918671,0,0,0.113106791273522,-0.19642076017674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0655762113978554,0,0.130273255876457,0,0.0434922507613202,0,0.277155051559001,0.219345406475506,0,0
0.659506300119301,0.508512737971492,25,0,0,-0.17435980225881,-0.0744439120266667,0,0.589370687005083,0.0566110205245873,0,0.414312155372114,0.316303462584994,0,0,0,0,0.115349581849095,-0.0386898155948002,-0.215975314677804,-0.143633879142386,-0.210419695531967,-0.498037556149236,0,0.189297362912235,0.00381356430707102,-0.664157567453659,0,0.535064993784282,0,0,0,0.310226266234532,0,-0.163433432577028,0,0,0.114056733917561,-0.197323642653892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0651691527854059,0,0.130038818579117,0,0.0449709746908572,0,0.276881442716607,0.219008400802705,0,0
