"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
0.806376946822335,0.806448901553086,0.806472767077329,0.806480523409027,0.806483014661923,0.806483809438577,0.806484062022289,0.806484142120475,0.806484167489749,0.806484175519346,0.806484178059796,0.806484178863382,0.806484179117539
0.806250321863063,0.806344109044206,0.806380631460844,0.806395629927642,0.806402233990071,0.806405354452363,0.806406918966465,0.806407738119135,0.806408179501827,0.806408421603571,0.806408555813794,0.806408630673809,0.806408672577092
0.805975366071533,0.806090967321292,0.80614014002885,0.806162378268958,0.806173094272319,0.806178540083144,0.806181416387023,0.806182974530784,0.806183831896239,0.806184308054478,0.806184573926173,0.80618472283811,0.806184806388034
0.805556153738688,0.805693488657495,0.805755269197417,0.805784724360615,0.805799539809617,0.80580730405996,0.805811488306597,0.805813783290375,0.805815055432865,0.805815764970812,0.805816162123788,0.805816384873973,0.80581650995042
0.804996884103545,0.805155813132402,0.80523012481625,0.80526675448505,0.805285645777611,0.805295715279508,0.805301200080401,0.805304227758244,0.805305912349176,0.805306853958271,0.805307381656958,0.805307677831841,0.805307844202285
0.804301862820608,0.804482190270504,0.804568923907521,0.804612667076145,0.804635600056267,0.804647955654448,0.8046547302551,0.804658484584934,0.804660578228405,0.804661749999568,0.804662407170595,0.804662776166633,0.804662983491694
0.803475483851442,0.803676961071416,0.803775976777871,0.803826754878515,0.803853685416174,0.803868302315033,0.803876352779097,0.803880825926364,0.803883324217473,0.8038847236739,0.803885508924539,0.803885949958569,0.803886197797851
0.802522211881205,0.802744540533533,0.802855669605779,0.80291338757187,0.802944262164083,0.802961110266684,0.802970419666916,0.802975602112061,0.802978499697377,0.802980123828558,0.802981035465858,0.802981547585858,0.802981835403998
0.801446565348928,0.801689400761126,0.801812447594931,0.801876994951454,0.801911751338921,0.801930795594875,0.801941344209109,0.801947224857892,0.801950515497529,0.801952360794162,0.801953396844586,0.80195397894072,0.801954306113599
0.800253100168187,0.800516054732983,0.800650798772546,0.800722050743983,0.800760618537931,0.800781819297102,0.800793584807543,0.800800151103229,0.800803827733973,0.800805890223478,0.800807048452875,0.800807699268724,0.800808065089787
0.798946394202738,0.799229040798899,0.799375238499897,0.799453057126848,0.799495358441023,0.799518671810218,0.79953162950443,0.799538867540947,0.79954292233993,0.799545197622265,0.799546475556021,0.799547193699916,0.799547597386539
0.797531032549877,0.797832907958664,0.797990294750755,0.798074530006917,0.798120480089993,0.798145858289961,0.798159981262054,0.798167875897267,0.798172300345705,0.798174783629228,0.798176178572433,0.798176962528795,0.798177403228671
0.796011593672904,0.796332201966948,0.796500494202299,0.796590985104115,0.796640492968165,0.796667884688434,0.796683144039061,0.796691679007378,0.796696463953945,0.796699150091062,0.796700659148559,0.796701507289182,0.796701984086655
0.794392636413193,0.794731452296704,0.794910349172305,0.795006924874291,0.795059893915339,0.795089244664648,0.795105609698532,0.795114767722133,0.795119903445553,0.795122786967932,0.79512440706413,0.795125317659313,0.795125829581652
0.792678687902126,0.793035159983542,0.793224345426315,0.793326826295752,0.793383154902821,0.793414407353118,0.793431845772974,0.793441608671009,0.793447084941515,0.793450160094662,0.793451887992977,0.793452859222471,0.793453405246014
0.790874232383689,0.791247786364024,0.791446930868976,0.79155512953437,0.791614711683845,0.791647806006042,0.791666284101872,0.79167663289707,0.791682439036396,0.791685699813407,0.791687532135255,0.791688562098933,0.791689141155093
0.78898370094976,0.789373742712101,0.789582505125009,0.789696227493429,0.789758953325943,0.789793827515859,0.789813310348729,0.789824225370892,0.78983035031053,0.789833790484865,0.789835723728088,0.789836810456318,0.78983742143742
0.787011462182224,0.787417380769949,0.787635410007281,0.787754456246373,0.787820212623818,0.787856802816942,0.787877254396477,0.78788871538245,0.787895147719908,0.787898760877045,0.787900791433726,0.787901932897383,0.787902574662288
0.784961813689012,0.785382984162333,0.785609920862293,0.785734086343423,0.785802757384077,0.785840998158011,0.785862381612953,0.785874367802691,0.785881095855569,0.785884875423428,0.785886999596998,0.785888193717089,0.785888865096613
