"train_SR","valid_SR","test_SR","portsN","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64"
0.341684800765299,0.250460519667825,0.339752378093527,5,0,0,0,0,0,0,0,0,0.388324534845962,0.489800760742768,0,0,0,0,0,0,0,0,0,-0.319512935408165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276643482715694,0.164744157103742,0,0
0.383368957429597,0.268743755382467,0.388374601039105,6,0,0,0,0,0,0.0874499014627808,0,0,0.362609823649149,0.491187812989618,0,0,0,0,0,0,0,0,0,-0.44125538130956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284393858718234,0.215613984489779,0,0
0.449616769844124,0.28773622002513,0.42301976437228,7,0,0,0,0,0,0.222192826105943,0,0,0.355863479732975,0.510901651873085,0,0,0,0,0,0,0,0,-0.146365435099086,-0.519212791211994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29288891246651,0.283731356132566,0,0
0.528084198140355,0.310708608382919,0.455571383206608,8,0,0,0,0,0,0.357903525939394,0,0,0.349467829211521,0.506444133045651,0,0,0,0,0,0,0,0,-0.340233354996917,-0.627316163386575,0,0,0,0,0,0.14125786430605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283583153619211,0.328893012261666,0,0
0.537407656209933,0.31291210982873,0.458534849915984,9,0,0,0,0,0,0.374552124952238,0,0,0.348709246144721,0.506215613448873,0,0,0,0,0,0,0,0,-0.366094690537531,-0.642903088179369,0,0,0,0,0,0.1555743921447,0,0,0,0,0,0,0,0,0.00954251165346479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282884731518528,0.331519158854376,0,0
0.561629035910317,0.324053745719488,0.469749982233282,10,0,0,0,0,0,0.410457539163137,0,0,0.347559327876081,0.506175237569897,0,0,0,0,0,0,0,0,-0.395101794791501,-0.647115870014082,0,0,0,-0.0672600921178237,0,0.189889537351167,0,0,0,0,0,0,0,0,0.03022408580982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282083607812803,0.343088421340501,0,0
0.579076915749869,0.332077958862536,0.476627435092194,11,0,0,-0.0190789963338962,0,0,0.440520534656156,0,0,0.350143026134799,0.507461335723521,0,0,0,0,0,0,0,0,-0.413551543269652,-0.645360687374976,0,0,0,-0.109551228584527,0,0.213288669556954,0,0,0,0,0,0,0,0,0.0453377001937947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28210650098227,0.348684688315557,0,0
0.65161815495149,0.362026092593182,0.501768426973427,12,0,0,-0.100083799470863,0,0,0.587637409889687,0,0,0.364521474457343,0.512471190264403,0,0,0,0,0,0,0,0,-0.500776030733391,-0.645615228648416,0,0,0,-0.330401612919547,0,0.307454789645718,0,0,0,0,0,0,0,0,0.118443544163168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270554759816012,0.334891354752104,0.0809021487837819,0
0.661162365096166,0.367000185536492,0.503763689214199,13,0,0,-0.113574938588109,0,0,0.609581440972888,0,0,0.366174923180151,0.512271840582649,0,0,0,0,0,0,0,0,-0.51517459130759,-0.648351200145447,0,0,0,-0.366163223403914,0,0.313978493697946,0,0,0,0.0203661155206614,0,0,0,0,0.129060510436397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268467412067942,0.331356150856538,0.0920070661298859,0
0.661559282271469,0.367138361958095,0.50374629210395,14,0,0,-0.113940047830447,0,0,0.610340776631736,0,0,0.366236226974965,0.512305929656092,0,0,0,0,0,0,0,-0.00106484517514727,-0.515420118550825,-0.648282113319325,0,0,0,-0.367027685821756,0,0.314263052259664,0,0,0,0.0210008435070367,0,0,0,0,0.129479435522312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268450877045714,0.331236657636637,0.0924210114633439,0
0.665042178201587,0.368085885947034,0.503323002256709,15,0,0,-0.116889519901152,0,0,0.616267604147986,0,0,0.366363604283029,0.512376288493376,0,0,0,0,0,0,0,-0.0103094953126514,-0.517719943589629,-0.647672560852181,0,0,0,-0.374656870762394,0.00425516224842509,0.315793748547566,0,0,0,0.0255008991871558,0,0,0,0,0.132857481763881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268073974782262,0.329702326173957,0.0960573007903702,0
0.692605068674906,0.375052526888256,0.499676995717693,16,0,0,-0.138556045183554,0,0,0.656788862687374,0,0,0.361760703188939,0.509256583117638,0,0,0,0,0.0309904750184925,0,0,-0.0901801803400419,-0.533739268322616,-0.642342370252265,0,0,0,-0.439210969688805,0.0328910961757701,0.325697068097553,0,0,0,0.0595747198727532,0,0,0,0,0.155415954901861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265418196430051,0.319046426183062,0.127188748113789,0
0.701228355091616,0.377022238402909,0.498306212160858,17,0,0,-0.145251147494079,0,0,0.669804080685982,0,0,0.360042179451261,0.50867223211867,0,0,0,0,0.0414852481958729,0,0,-0.117631384689788,-0.539305931815898,-0.64075224693692,0,0,0,-0.462790441124236,0.0418791736852812,0.326552288393282,0,0,0,0.0707345725167982,0,0,0,0,0.16232024902049,0,0,0,0,0,0,0,0,0,0,0.0097115543401159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262562208955235,0.314831203928357,0.137136160769575,0
0.713977059381021,0.379024018238921,0.496310059532683,18,0,0,-0.154871859425796,0,0,0.686031887464305,0,0,0.357651268879377,0.505851200075884,0,0,0,0,0.0568068789191766,0,0,-0.16145217489816,-0.547726899521388,-0.637577281029658,0,0,0,-0.497502943048805,0.0541249492902925,0.322984239032027,0,0,0,0.084848029787218,0,0,0,0,0.170313703782446,0,0,0.0287372088073737,0,0,0,0,0,0,0,0.0213837195998889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254523298143715,0.305397106234626,0.150477667907478,0
0.734623684238666,0.383909414402299,0.492682893645452,19,0,0,-0.171894016700083,0,0,0.704847205132131,0,0,0.352294586317188,0.498278646757862,0,0,0,0,0.0839776233735013,0,0,-0.227767269172402,-0.556443506553996,-0.625517949487405,0,0,0,-0.53985304171911,0.0802672995338806,0.316839581825499,0,0,0,0.109637757317553,0,0,0,0,0.186482470809168,-0.0367629921879012,0,0.0710812699092211,0,0,0,0,0,0,0,0.0417183076680436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240033134432809,0.293424079398155,0.179356813345884,0
0.745058040441294,0.3867964970377,0.487214845377402,20,0,0,-0.173709759023505,0,0,0.706042992105147,0,0,0.351517308319695,0.49744555432063,0,0,0,0,0.0962847325108482,0,-0.0448064234298971,-0.249338762647825,-0.552512925370187,-0.610212593764691,0,0,0,-0.549502011599066,0.0962263636361833,0.316019726808897,0,0,0,0.123323191278098,0,0,0,0,0.191721321825137,-0.0540819947177802,0,0.0961072067710319,0,0,0,0,0,0,0,0.0470075616951719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233489670050069,0.288553131821387,0.190425709410654,0
0.757607154491952,0.39024293647165,0.481953662062309,21,0,0,-0.173349808185635,0,0,0.707170695352196,0,0,0.348928664174883,0.496625410852345,0,0,0,0,0.116567456795778,-0.0219645839798254,-0.0985579129365648,-0.27837489028413,-0.543917559820695,-0.582678062496871,0,0,0,-0.556353448718898,0.118216031026549,0.316958687871581,0,0,0,0.14246700500513,0,0,0,0,0.195607241914759,-0.0747429133910024,0,0.127216111972767,0,0,0,0,0,0,0,0.0503505901760029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225036569935682,0.282871126021454,0.201923588714494,0
