"train_SR","valid_SR","test_SR","portsN","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
0.278587089275289,0.184348033649732,0.257387102801334,5,0,0,0,-0.154707172391982,0,0,0,0,0.309321325077336,0.298668529794675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305589034665923,0.241128282854049,0,0
0.461076196787102,0.238429503070565,0.313644970332715,6,0,0,-0.477658912780896,-0.439304475761794,0,0,0,0,0.708930830293137,0.697451176035887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243676421260951,0.266904960952714,0,0
0.482520245001819,0.25165060031196,0.320070509220687,7,0,0,-0.511634096942119,-0.434538757884027,0,0,0,-0.102070114421364,0.772397662413899,0.760185988895518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233126415299248,0.282532902638846,0,0
0.490395112832938,0.257780629475665,0.322527240313311,8,0,0,-0.526478196899637,-0.435143241704756,0,0,0,-0.140778265360642,0.7905937770873,0.775433068981859,0,0,0,0.0207385096663966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229206028364388,0.286428319865091,0,0
0.52157096550642,0.276932675157972,0.339118246020893,9,0,0,-0.572556370390171,-0.432612705430754,0,0,0,-0.23467281536436,0.849631380743721,0.836161975205559,0,0,0,0.082196956539041,0,0,0,0,0,-0.0833902661062118,0,0,0,0,0,0,0,0,0.223461577050717,0.331780267752459,0,0
0.542417310490355,0.294411902335432,0.35780838628952,10,0,0,-0.610573569536309,-0.432148105719425,0,0.106175309681595,0,-0.300473657610602,0.849910569642244,0.847349162869297,0,0,0,0.107165995955591,0,0,0,0,0,-0.135522041965751,0,0,0,0,0,0,0,0,0.220248117558098,0.347868219125262,0,0
0.570937722607381,0.31871105062225,0.380445188370399,11,0,0,-0.675850525757069,-0.430083094897104,0,0.244531633075351,0,-0.367791131429407,0.849480262451949,0.886229539137225,0,0,0,0.136784671526619,0,0,0,0,0,-0.184081415186372,0,0,0,-0.0752513715220751,0,0,0,0,0.228775293392795,0.387256139208087,0,0
0.574841103819135,0.321553704434365,0.383606202494989,12,0,0,-0.687800846365249,-0.432438859526516,0,0.258971119793118,0,-0.377233538678554,0.847477789489739,0.889697704478984,0,0,0.0141274970137114,0.139743800485553,0,0,0,0,0,-0.190762201504471,0,0,0,-0.0841061393633607,0,0,0,0,0.229096543186391,0.393227130990654,0,0
0.589581739679292,0.328832580478949,0.396338475613916,13,0,0,-0.725346719709668,-0.443882572615091,0,0.310418716391185,0,-0.415568647251108,0.841505852299112,0.892316219610539,0,0,0.0699551861475546,0.149418632074253,0,0,0,0,0,-0.221394398524475,0,0,0,-0.119618667122157,0,0,0,0,0.224331986532894,0.393078459872497,0.0447859522944647,0
0.610504011261472,0.336913978774429,0.412639303176234,14,0,0,-0.790379947599328,-0.464501189526957,0.0771391611021938,0.369287755445902,0,-0.476823467599997,0.820556144565914,0.872479184908427,0,0,0.146417348520305,0.156636787126932,0,0,0,0,0,-0.273038129380227,0,0,0,-0.16594849096352,0,0,0,0,0.209981795024907,0.394497183162358,0.123695865213093,0
0.613116374075195,0.337409413640895,0.41358012196959,15,0,0,-0.796444564179625,-0.466206661079557,0.0848522569343758,0.375457189280352,0,-0.483786141417011,0.819694688983854,0.872296493886491,0,0,0.15342987013168,0.157536630029855,0,0,0,0,0,-0.276929465899633,-0.0109643587582699,0,0,-0.169333492094862,0,0,0,0,0.210786959882298,0.397274475528012,0.132336118772041,0
0.614875472023176,0.338025895896451,0.414373637138586,16,0,0,-0.799517978941661,-0.467026486086495,0.0883504219586468,0.379705719511029,0,-0.488311731268385,0.819215464470688,0.873051554268472,0,0,0.157178507636409,0.158161386366412,0,0,0,0,0,-0.279193281150802,-0.0148943535442279,-0.0060258965858341,0,-0.170605896890212,0,0,0,0,0.211954651068665,0.400397789867744,0.137560129319552,0
0.652254277291871,0.34831770529997,0.425599261959339,17,0,0,-0.860335629382816,-0.484092701806564,0.1712307697302,0.462574890421265,0,-0.56921568581874,0.813156882826356,0.871520656240989,0,0,0.225652646699889,0.169989096416226,0,0,0,0,0,-0.340299614039707,-0.0925521655069125,-0.161524101607092,0.115535367816017,-0.210361089311218,0,0,0,0,0.22233158697115,0.44173263918106,0.224656451169896,0
0.684582920672717,0.355417163307691,0.428274831619724,18,0,-0.0874191149460567,-0.911571718055074,-0.487070725482103,0.276040459797933,0.558340972707034,0,-0.637765884048023,0.810812593112938,0.872950255578502,0,0,0.303889653612035,0.180686384480089,0,0,0,0,0,-0.402128925731487,-0.170862921232868,-0.311902343685438,0.229624138692531,-0.25728202800065,0,0,0,0,0.232931963396149,0.481831101681971,0.318896138122517,0
