"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
0.668730149473714,0.668764957242044,0.668776347971856,0.668780021221357,0.668781195775856,0.668781569541313,0.668781688155476,0.668781725739433,0.66878173763787,0.668781741402863,0.668781742593881,0.668781742970589,0.668781743089728
0.668658077218383,0.668702766205176,0.668719705645873,0.668726496466816,0.668729423271156,0.668730782111303,0.668731454581485,0.668731803592208,0.668731990609462,0.668732092848048,0.668732149413901,0.668732180929872,0.668732198559811
0.668487390859954,0.668542567770246,0.668565402291784,0.668575507173781,0.668580297276203,0.668582703815586,0.668583965414719,0.668584645705597,0.668585019011743,0.668585226007119,0.66858534148168,0.668585406124336,0.668585442382743
0.668220971466436,0.668287202227445,0.668316255239156,0.668329857749517,0.66833661492794,0.668340127701527,0.668342011402426,0.668343041533274,0.668343611570919,0.668343929197186,0.668344106884271,0.668344206511663,0.668344262443453
0.667861741737414,0.667939551583812,0.667975123570857,0.667992394371379,0.668001215141649,0.668005888599092,0.668008425076727,0.668009822315032,0.668010598800001,0.668011032522544,0.668011275496124,0.668011411837052,0.668011488414457
0.667412656425085,0.66750253015742,0.667544898814749,0.667565995733386,0.667576969388404,0.667582853915667,0.667586071559215,0.667587851886868,0.667588843811981,0.667589398689588,0.667589709794986,0.667589884449668,0.667589982572612
0.66687669314234,0.666979075546161,0.667028496003076,0.667053564156626,0.667066772834203,0.667073914791357,0.667077839725333,0.667080017850479,0.667081233492202,0.667081914180802,0.667082296036787,0.667082510478039,0.667082630974802
0.666256843586706,0.666372139999538,0.666428845127711,0.666458017091559,0.666473535868748,0.666481977642663,0.666486633756443,0.666489223130048,0.666490670057796,0.666491480815689,0.666491935817419,0.666492191392307,0.666492335020453
0.665556105203526,0.66568468221663,0.665748883014317,0.665782279035142,0.665800176046788,0.665809956117463,0.665815365102472,0.6658183779392,0.665820063027069,0.665821007721518,0.665821538044244,0.665821835976168,0.665822003423721
0.664777473306634,0.664919659588397,0.664991545633522,0.665029273880889,0.665049610460095,0.665060763479317,0.665066944873166,0.665070392176165,0.665072321616861,0.665073403731919,0.665074011335387,0.665074352726559,0.665074544613388
0.663923933669832,0.664080020897715,0.664159760862528,0.664201917715288,0.664224748553503,0.664237305434569,0.664244276671408,0.664248168260598,0.66425034758133,0.664251570226779,0.664252256860254,0.664252642694519,0.664252859573932
0.662998455597899,0.663168699486044,0.663256441706163,0.663303112069621,0.663328485394093,0.663342473411316,0.663350249877698,0.663354594421155,0.663357028501279,0.663358394422547,0.663359161630392,0.663359592776364,0.663359835136869
0.662003985481526,0.662188606891439,0.662284479982248,0.66233573763216,0.66236369539855,0.662379138295305,0.662387733390865,0.662392538438917,0.6623952315291,0.662396743118032,0.662397592245762,0.662398069460233,0.662398337727452
0.660943440836684,0.661142626958807,0.661246740472371,0.661302648421958,0.661333226519958,0.661350144624068,0.661359569826329,0.661364841847976,0.661367797590665,0.661369456897037,0.661370389097794,0.66137091302937,0.661371207568089
0.659819704825301,0.660033610419747,0.660146055535713,0.660206666421997,0.660239894891892,0.660258305237185,0.660268570169849,0.660274314591141,0.660277536042144,0.660279344785793,0.660280361027163,0.660280932220101,0.660281253336424
0.658635621250919,0.658864369936221,0.658985220180422,0.65905057666638,0.659086479924572,0.659106396377515,0.659117508881606,0.659123730125633,0.659127219776596,0.659129179360057,0.659130280431181,0.659130899329388,0.659131247272983
0.657393990020158,0.657637675599446,0.657766987584286,0.657837122773485,0.65787571984512,0.657897153235454,0.65790911944273,0.657915820970885,0.657919580772493,0.657921692294046,0.657922878812954,0.657923545764104,0.657923920730527
0.656097563058285,0.656356250872977,0.65649406505402,0.656569002914596,0.656610307671513,0.656633265925917,0.656646090333986,0.656653274688193,0.656657306073909,0.656659570340928,0.656660842762042,0.656661558021805,0.656661960154871
0.654749040665059,0.655022768966804,0.655169110410348,0.655248866205406,0.655292887607772,0.65531737588562,0.655331061434242,0.655338730279849,0.655343034190033,0.655345451732545,0.655346810354311,0.655347574090637,0.655348003484828
