"train_SR","test_SR","portsN","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
0.318392567094455,0.341962570305432,5,0,0,0,-0.512531095757599,0,0,0,0,0.33444776328816,0.716267988818428,0,0,0,0.0548376325671115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4069777110839,0,0,0
0.333100477603472,0.348595912912024,6,0,0,0,-0.524306906990617,0,0,0,-0.0620639949334694,0.360643589484803,0.7389987811155,0,0,0,0.0819740591882972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404754472135486,0,0,0
0.339765542484147,0.351469415905477,7,0,0,0,-0.527430201445332,0,0,0,-0.0918861416898516,0.371143433646227,0.746941253686538,0,0,0,0.0939479095605494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400684116824358,0.00659962941751071,0,0
0.427365434056879,0.402755533052751,8,0,0,0,-0.574345483235149,0,0.279492674056179,0,-0.515684658312693,0.413299691572329,0.767423081045118,0,0,0,0.213278097056689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337966278343736,0.0785703194737908,0,0
0.46675336307049,0.415373668042696,9,0,0,-0.130324268131564,-0.567206499573777,0,0.442689054614519,0,-0.676079196906624,0.448498328311217,0.786883868157927,0,0,0,0.279900854540087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315948155434371,0.0996897035538447,0,0
0.475373753596255,0.420171216330599,10,0,0,-0.151483510091686,-0.553108172193165,0,0.473254404868269,0,-0.690443225019054,0.456211364699882,0.792413294934728,0,0,0,0.29752714848087,0,-0.0428065498647099,0,0,0,0,0,0,0,0,0,0,0,0,0.313177647993898,0.105257596190969,0,0
0.478209173822281,0.42169438405387,11,0,0,-0.158134670388687,-0.550364778999568,0,0.482374810600907,0,-0.693884208347388,0.457827524287664,0.795273617817515,0,0,0,0.302455960312081,0,-0.0524701125394487,0,0,0,0,0,0,0,-0.005559522108427,0,0,0,0,0.313600522448481,0.10888085691687,0,0
0.488040265603043,0.426901181893727,12,0,0,-0.182206837496575,-0.540235180600828,0,0.514700545341697,0,-0.705819733058408,0.462936223326553,0.80382825898715,0,0,0,0.320229120886207,0,-0.0868915544162101,0,0,0,0,0,0,0,-0.0260305398576006,0.00613327485046987,0,0,0,0.313744401057475,0.119612020980071,0,0
0.515277730714758,0.443857259015473,13,0,0,-0.254083129600569,-0.510074461773882,0,0.614795836570096,0,-0.738771384107611,0.477392594057225,0.829544755227613,0,0,0,0.370897854146522,0,-0.181039997437503,0,0,0,-0.0393267561825447,0,0,0,-0.0734782630346759,0.0301326835578695,0,0,0,0.315219777064318,0.158790491513144,0,0
0.523105828745532,0.44941462817413,14,0,0,-0.274102192492717,-0.501373727233398,0,0.63735000514281,0,-0.752909600313952,0.479853449830531,0.824109303339425,0.0363574660506342,0,0,0.382138021157372,0,-0.213416164194792,0,0,0,-0.0496063172360545,0,0,0,-0.0892112062016513,0.036991039516808,0,0,0,0.312820763073998,0.170999159560986,0,0
0.532471604952166,0.457333033716126,15,0,0,-0.302052680611667,-0.494913202026825,0,0.654877458515309,0.044134290846936,-0.771034417136972,0.480133851986953,0.811831343469353,0.069399669580535,0,0,0.389378144111669,0,-0.249996907760362,0,0,0,-0.0629586059186601,0,0,0,-0.106348498829182,0.0437026156308897,0,0,0,0.309660127348977,0.184186810793047,0,0
0.563341091773996,0.477999289882143,16,0,0,-0.359327104792931,-0.47519439780031,0,0.726076828949484,0.130160394748976,-0.849453903275723,0.478117657326513,0.801547005712383,0.166067460875436,0,0,0.419470929007133,0,-0.356138839528393,0,0,0,-0.084110668338873,0,-0.159722820414211,0,-0.115405282349099,0.107739115858031,0,0,0,0.317410471050769,0.252763152970816,0,0
0.579480287399532,0.489619649312398,17,0,0,-0.403097116347482,-0.469781196403263,0,0.76103554310353,0.176637966284727,-0.901881689756387,0.470321349865373,0.792735481972976,0.225596299537449,0,0.0430807894453536,0.437145552364062,0,-0.421942130152008,0,0,0,-0.0982265891815771,0,-0.253081429001855,0,-0.120208765598102,0.144617418049941,0,0,0,0.319810840522303,0.297237675294959,0,0
0.584295539369445,0.492052436672347,18,0,-0.0208823311847131,-0.413353209992186,-0.465958657634005,0,0.774471264545798,0.19391454069756,-0.91437744231976,0.471343763040055,0.792254297539783,0.24181396810455,0,0.0563166994780479,0.441968237715909,0,-0.439423517544458,0,0,0,-0.101903576301472,0,-0.276704442442065,0,-0.123645172411975,0.154893015380946,0,0,0,0.32035683107176,0.308915732256225,0,0
0.595147340085732,0.495786383972183,19,0,-0.0638680484262634,-0.432345769186957,-0.457310921741968,0,0.800354168380125,0.22466137698826,-0.936066949910051,0.475479283685746,0.785395943000663,0.277519934424388,0,0.0839205365351893,0.451444563916373,0,-0.477003975046779,0,0,0,-0.114714962698259,0,-0.340909013806018,0.0463837533296615,-0.138329553295433,0.171403689790127,0,0,0,0.316928563436739,0.327057380624454,0,0
