V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32
0.08326042931329163,0.08486586210225941,0.05304335934653897,0.10733472725533331,0.0843034926595242,0.08425544454746295,0.08541437205736208,0.058362877292571114,0.0911359462467427,0.03310671821958931,0.0788939417231438,0.057378257189497024,0.035470357797413914,0.08291380804009775,0.10852548475913697,0.06714697473367129,0.07875193552659773,0.08470974045278429,0.0845111532065939,0.005641070126199898,0.07691308344792233,0.11594241351003892,0.029710056036155983,-0.04499688627245797,0.08059656057008137,0.04702734828399115,0.03456572795635874,0.012836674261964491,0.053758323644177,0.07257433450425409,0.06563440494182764,0.07292297854178136
-0.01048082056271941,-0.009845322727619135,-0.009883491146710704,-0.005492721149250666,-0.043518900804127236,-0.04522611832248824,-0.05382502346754464,-0.0054432085748367595,0.007975898942455319,-0.010243798273103219,0.007167561307660154,-0.03062848476324237,-0.012800613087216271,-0.009988790142547528,-0.029997117793193313,-0.01211335862099153,-0.05255869479602446,-0.015015050997393644,0.019834819897312214,-0.05734652622992021,-0.041454048788437524,-0.02933236815413367,-0.00992394767221042,-0.0353493867216028,0.051362836560584005,-0.04337459655405062,-0.04219654091399869,0.021779189930596965,0.04618656284043139,-0.0026707936543935665,-0.046916046606914064,-0.0538520993073891
0.013030021913130218,0.019962670014878656,0.05306361769143929,-0.0005763698407991492,0.019494249980692283,0.017250170909173114,0.03150814149144336,0.017276427254443297,0.0498449951942364,0.010531772886473818,0.023995066523542396,0.04646563590342416,0.006524668981979592,0.014562183610519053,-0.0036307226779557105,0.041913734715404806,0.041776980542912054,0.04535581459053971,0.05780170794248846,0.05778498047593002,0.028875726409690675,0.04165551705157956,0.07257797352757567,0.009258321784517451,0.03892852161227949,0.04040990663885789,0.02246045057540528,0.045583445040334236,0.019390730546792634,0.04534997096059709,0.014854925027887286,0.06269811899465506
0.03297764123573726,0.006483266634839389,0.04297117472887543,0.04748735567306323,0.02713527668654872,0.05489202129799873,0.013494453145507738,0.000513503974433443,0.03864541714496082,0.05139030767442682,0.0085909397188307,0.06818550373276758,0.049175468086971735,0.03842846409998184,0.05427227164312705,0.06258555281976025,0.0861027233896432,0.05864122347327344,0.032555280247207156,0.03639361637395586,0.033270394439597804,0.06464856711414288,0.08737442301039629,0.017509523582229184,0.09212843786725006,0.0035501566401242727,0.0270661051181946,0.053826430441366355,0.022309264537694468,0.05879791898698942,0.060416934790949034,0.05403525942659326
0.04777188793527286,0.05986615335584445,0.028091149623694328,0.03379667912253484,0.03166459484872396,0.03950168918563756,-0.006001628893038993,0.03399460305430288,0.003257886938861522,0.01927139737346637,0.054186785866319975,0.03896606396450671,0.027186623940330112,0.04254431927226866,0.03701215006525729,0.005201657693572706,0.05433595765581304,0.013230303966519237,0.03256390701310711,-0.06283815168805897,0.017082110444325893,0.012202024173038995,0.03150947057959235,-0.0204655615651696,-0.02474614982354431,0.024235192922129882,0.012919023601325318,0.038993152480440836,0.044271438435846744,0.04760355793389342,0.06449375063218568,0.013747195573601849
-0.014039805158344042,0.009211220831538473,-0.05609804764761021,-0.02030670122849105,-0.012722924288419393,-0.05642060250452575,-0.02099107705092178,-0.03552752709919101,-0.009129341330428878,0.002099860275553071,-0.032686299471940114,-0.009426088331265702,-0.041646540738656895,0.0011217694416518842,0.008425188437629964,-0.007536931473898335,-0.03739259894063297,0.0055056532919346,-0.06753931397176995,-0.022145389328669867,-0.021323098257454317,-0.012630000504987946,0.004008799586858691,-0.10276494129830326,0.04348827558621478,-0.008884584624297698,-0.01248358813873154,-0.012110521310024585,-0.008064088974100726,-0.06758794490037316,-0.04655391713645218,-0.03542551509389971
-0.0012321598153248968,0.0023040072109442884,-0.014478367984672284,-0.004731342623186116,-0.017826722418702368,-0.00490363304764508,-0.014811923394513555,-0.044717759701338615,-0.03184989590967851,-0.04529675248996601,0.008796798058147093,0.02369548428227471,-0.02102451793809889,-0.007396107218353663,-0.009264897962429287,0.01392012922070585,-0.008701205592455304,-0.0010338885542368194,0.0078024011837438635,0.011502683961421227,-0.028879767416746995,-0.03980277299472918,-0.034725397935101335,-0.054016203691263816,-0.07669440670516652,-0.02161026631272157,-0.014771190263374898,0.00479889442518846,-0.05721790945772324,0.029949267717868853,-0.02018488635669491,-0.036054999430270226
0.06018525346304221,0.050375155930219656,0.042437496866961355,0.05108244043683163,0.028559350208661762,0.03080054873313504,-0.015344656638400745,0.034286942144535135,0.08557272023581754,0.02329749748261554,-0.01463879322757519,0.045889562383573584,0.04630497203574477,0.04955482429281091,0.049000331373898365,0.05978924770328263,0.09976874002582817,-0.012991356795642438,0.07418374685149286,0.04591554910857959,0.05895843037882888,0.046415220458519146,0.038678530097788696,0.025076931074684086,0.0448244667106109,0.04075225781292088,0.05087852214291588,0.07741192666277995,0.04573845485935017,0.035630066312885025,0.091539813601641,0.07330404294291104
-0.04227513194604729,0.04909336894843011,-0.03776419210318224,-0.022318619105064053,-0.012820488054143757,-0.010598169435129954,0.0038379978118971035,-0.025766620775698926,-0.07343095175810552,0.0019396753019416428,-0.041368611099644945,-0.022276440943979237,-0.061578610463270886,-0.03491552689055297,-0.03140577302552468,-0.07434334175157933,0.00468518304408862,-0.011929202801571974,0.037516584086644225,-0.09433664157275115,-0.0003818376283612249,0.02412462353818902,-0.03545065259729688,-0.04466146456121339,-0.031574415933095006,-0.02642474404243956,0.05315367986028907,-0.036826508633620664,-0.10955188196404299,-0.0041846848394530905,-0.02778035956041813,-0.00351511348635395
0.01874973382899781,0.07167180596211534,0.020532579540809413,0.024279393017764994,0.014752585892955722,-0.008362837237871231,0.03909968840884691,0.02107854434158129,0.023292810463555864,0.035395164052296424,-0.0011450921103608714,0.03414292397604397,0.0596430972594246,-0.0028431625796934445,0.015039668387673934,0.03409524245264837,0.016703274950390347,0.02468800718526816,0.021653690363092806,-0.04711090509116671,0.03167406411484305,-0.026187537250507327,-0.0007785393553039824,-0.007874112110143425,0.013961976974487915,0.007640269398654269,0.05182799170307032,0.004004044234406037,0.04196349830389828,0.03202300386972393,0.01343179595110442,0.15150583424288955
