date,date_dt,yy,mm,method,gross_ret,turnover_raw,turnover,turnover_portfolio,turnover_stock,cost,net_ret,wealth_gross,wealth_net,drawdown_net
19930226,1994-02-28,1994,2,"AP-Trees baseline (static, no TC, lagged trade)",0.018582002583766778,1.0,0.0,1.0,0.0,0.0,0.018582002583766778,1.0185820025837669,1.0185820025837669,0.0
19930331,1994-03-31,1994,3,"AP-Trees baseline (static, no TC, lagged trade)",0.03221739351934497,0.0,0.0,0.0,0.0,0.0,0.03221739351934497,1.0513980597927306,1.0513980597927306,0.0
19930430,1994-04-30,1994,4,"AP-Trees baseline (static, no TC, lagged trade)",0.018511900554430784,0.0,0.0,0.0,0.0,0.0,0.018511900554430784,1.070861436118735,1.070861436118735,0.0
19930528,1994-05-31,1994,5,"AP-Trees baseline (static, no TC, lagged trade)",0.05383692413072836,0.0,0.0,0.0,0.0,0.0,0.05383692413072836,1.1285133220095822,1.1285133220095822,0.0
19930630,1994-06-30,1994,6,"AP-Trees baseline (static, no TC, lagged trade)",0.02473334820880008,0.0,0.0,0.0,0.0,0.0,0.02473334820880008,1.156425234961115,1.156425234961115,0.0
19930730,1994-07-31,1994,7,"AP-Trees baseline (static, no TC, lagged trade)",0.028253591539104887,0.0,0.0,0.0,0.0,0.0,0.028253591539104887,1.1890984011952197,1.1890984011952197,0.0
19930831,1994-08-31,1994,8,"AP-Trees baseline (static, no TC, lagged trade)",0.03421319423606672,0.0,0.0,0.0,0.0,0.0,0.03421319423606672,1.229781255761108,1.229781255761108,0.0
19930930,1994-09-30,1994,9,"AP-Trees baseline (static, no TC, lagged trade)",0.04331671457767308,0.0,0.0,0.0,0.0,0.0,0.04331671457767308,1.2830513394098846,1.2830513394098846,0.0
19931029,1994-10-31,1994,10,"AP-Trees baseline (static, no TC, lagged trade)",0.06674626487935628,0.0,0.0,0.0,0.0,0.0,0.06674626487935628,1.3686902239639496,1.3686902239639496,0.0
19931130,1994-11-30,1994,11,"AP-Trees baseline (static, no TC, lagged trade)",-0.005106976475884362,0.0,0.0,0.0,0.0,0.0,-0.005106976475884362,1.3617003551873927,1.3617003551873927,-0.005106976475884428
19931231,1994-12-31,1994,12,"AP-Trees baseline (static, no TC, lagged trade)",0.00335695942417946,0.0,0.0,0.0,0.0,0.0,0.00335695942417946,1.3662715280276474,1.3662715280276474,-0.0017671609645147912
19940131,1995-01-31,1995,1,"AP-Trees baseline (static, no TC, lagged trade)",0.07918932393398406,0.0,0.0,0.0,0.0,0.0,0.07918932393398406,1.4744656466424082,1.4744656466424082,0.0
19940228,1995-02-28,1995,2,"AP-Trees baseline (static, no TC, lagged trade)",0.020279395341391178,0.0,0.0,0.0,0.0,0.0,0.020279395341391178,1.5043669184079695,1.5043669184079695,0.0
19940331,1995-03-31,1995,3,"AP-Trees baseline (static, no TC, lagged trade)",-0.029185789710336717,0.0,0.0,0.0,0.0,0.0,-0.029185789710336717,1.4604607818801274,1.4604607818801274,-0.029185789710336585
19940429,1995-04-30,1995,4,"AP-Trees baseline (static, no TC, lagged trade)",-0.031071152325917315,0.0,0.0,0.0,0.0,0.0,-0.031071152325917315,1.4150825824603017,1.4150825824603017,-0.05935010591841183
19940531,1995-05-31,1995,5,"AP-Trees baseline (static, no TC, lagged trade)",0.012595829601678758,0.0,0.0,0.0,0.0,0.0,0.012595829601678758,1.4329067215412754,1.4329067215412754,-0.04750184013772285
19940630,1995-06-30,1995,6,"AP-Trees baseline (static, no TC, lagged trade)",-0.038804716558506085,0.0,0.0,0.0,0.0,0.0,-0.038804716558506085,1.377303182357088,1.377303182357088,-0.08446326125367709
19940729,1995-07-31,1995,7,"AP-Trees baseline (static, no TC, lagged trade)",-0.001969274362119686,0.0,0.0,0.0,0.0,0.0,-0.001969274362119686,1.3745908945112064,1.3745908945112064,-0.08626620428086884
19940831,1995-08-31,1995,8,"AP-Trees baseline (static, no TC, lagged trade)",0.024052765773704046,0.0,0.0,0.0,0.0,0.0,0.024052765773704046,1.4076536073315506,1.4076536073315506,-0.0642883793129192
19940930,1995-09-30,1995,9,"AP-Trees baseline (static, no TC, lagged trade)",0.026773685460046933,0.0,0.0,0.0,0.0,0.0,0.026773685460046933,1.445341682250946,1.445341682250946,-0.03923593069933262
19941031,1995-10-31,1995,10,"AP-Trees baseline (static, no TC, lagged trade)",-0.008440696345591348,0.0,0.0,0.0,0.0,0.0,-0.008440696345591348,1.4331419919954396,1.4331419919954396,-0.04734544846805422
19941130,1995-11-30,1995,11,"AP-Trees baseline (static, no TC, lagged trade)",-0.043640376028297796,0.0,0.0,0.0,0.0,0.0,-0.043640376028297796,1.3705991365628147,1.3705991365628147,-0.08891965132197777
19941230,1995-12-31,1995,12,"AP-Trees baseline (static, no TC, lagged trade)",-0.04391402733816746,0.0,0.0,0.0,0.0,0.0,-0.04391402733816746,1.3104106086101266,1.3104106086101266,-0.1289288586610916
19950131,1996-01-31,1996,1,"AP-Trees baseline (static, no TC, lagged trade)",0.06796758754183353,0.0,0.0,0.0,0.0,0.0,0.06796758754183353,1.3994760563665827,1.3994760563665827,-0.06972425460697451
19950228,1996-02-29,1996,2,"AP-Trees baseline (static, no TC, lagged trade)",0.016762752845619018,0.0,0.0,0.0,0.0,0.0,0.016762752845619018,1.4229351276128175,1.4229351276128175,-0.054130272208677055
19950331,1996-03-31,1996,3,"AP-Trees baseline (static, no TC, lagged trade)",0.028883064124370365,0.0,0.0,0.0,0.0,0.0,0.028883064124370365,1.4640338541484779,1.4640338541484779,-0.026810656207579386
19950428,1996-04-30,1996,4,"AP-Trees baseline (static, no TC, lagged trade)",0.02774335727440391,0.0,0.0,0.0,0.0,0.0,0.02774335727440391,1.5046510684259415,1.5046510684259415,0.0
19950531,1996-05-31,1996,5,"AP-Trees baseline (static, no TC, lagged trade)",0.017424626797991293,0.0,0.0,0.0,0.0,0.0,0.017424626797991293,1.5308690517544625,1.5308690517544625,0.0
19950630,1996-06-30,1996,6,"AP-Trees baseline (static, no TC, lagged trade)",0.057979447766509554,0.0,0.0,0.0,0.0,0.0,0.057979447766509554,1.6196279939780265,1.6196279939780265,0.0
19950731,1996-07-31,1996,7,"AP-Trees baseline (static, no TC, lagged trade)",0.048932444178007815,0.0,0.0,0.0,0.0,0.0,0.048932444178007815,1.6988803503824952,1.6988803503824952,0.0
19950831,1996-08-31,1996,8,"AP-Trees baseline (static, no TC, lagged trade)",0.056687425238177276,0.0,0.0,0.0,0.0,0.0,0.056687425238177276,1.7951855032334112,1.7951855032334112,0.0
19950929,1996-09-30,1996,9,"AP-Trees baseline (static, no TC, lagged trade)",0.058621068052401276,0.0,0.0,0.0,0.0,0.0,0.058621068052401276,1.9004211947851413,1.9004211947851413,0.0
19951031,1996-10-31,1996,10,"AP-Trees baseline (static, no TC, lagged trade)",-0.049838949553197426,0.0,0.0,0.0,0.0,0.0,-0.049838949553197426,1.8057061987284173,1.8057061987284173,-0.049838949553197454
19951130,1996-11-30,1996,11,"AP-Trees baseline (static, no TC, lagged trade)",-0.030848327024955637,0.0,0.0,0.0,0.0,0.0,-0.030848327024955637,1.7500031833990535,1.7500031833990535,-0.07914982836375584
19951229,1996-12-31,1996,12,"AP-Trees baseline (static, no TC, lagged trade)",-0.010291245353484938,0.0,0.0,0.0,0.0,0.0,-0.010291245353484938,1.7319934712693141,1.7319934712693141,-0.08862652341386312
19960131,1997-01-31,1997,1,"AP-Trees baseline (static, no TC, lagged trade)",0.08930323357757197,0.0,0.0,0.0,0.0,0.0,0.08930323357757197,1.8866660887889075,1.8866660887889075,-0.007237924957887443
