date,date_dt,yy,mm,method,gross_ret,turnover_raw,turnover,turnover_portfolio,turnover_stock,cost,net_ret
19730131,1974-01-31,1974,1,AP-Trees rolling TC-aware (stock-level TC),-0.028008647990798868,0.0,1.0,0.0,1.0,0.0025,-0.030508647990798866
19730228,1974-02-28,1974,2,AP-Trees rolling TC-aware (stock-level TC),-0.06458486630739876,0.12767518052564744,0.13184328805347986,0.12767518052564744,0.13184328805347986,0.0003296082201336997,-0.06491447452753246
19730330,1974-03-31,1974,3,AP-Trees rolling TC-aware (stock-level TC),-0.01652346459625591,0.20014270688585156,0.18651885714192207,0.20014270688585156,0.18651885714192207,0.0004662971428548052,-0.016989761739110716
19730430,1974-04-30,1974,4,AP-Trees rolling TC-aware (stock-level TC),-0.04986306316691437,0.09291376549649612,0.14040513305994162,0.09291376549649612,0.14040513305994162,0.00035101283264985406,-0.05021407599956423
19730531,1974-05-31,1974,5,AP-Trees rolling TC-aware (stock-level TC),-0.04966276088300908,0.16984121408156969,0.14857116616516983,0.16984121408156969,0.14857116616516983,0.0003714279154129246,-0.05003418879842201
19730629,1974-06-30,1974,6,AP-Trees rolling TC-aware (stock-level TC),-0.01413844797087264,0.10071706003833801,0.13481637189305237,0.10071706003833801,0.13481637189305237,0.00033704092973263093,-0.01447548890060527
19730731,1974-07-31,1974,7,AP-Trees rolling TC-aware (stock-level TC),0.03503574122686526,0.8917882789093691,0.5311060003623114,0.8917882789093691,0.5311060003623114,0.0013277650009057786,0.03370797622595948
19730831,1974-08-31,1974,8,AP-Trees rolling TC-aware (stock-level TC),-0.013873968957720135,0.13414923536655404,0.09792480976482165,0.13414923536655404,0.09792480976482165,0.00024481202441205415,-0.014118780982132189
19730928,1974-09-30,1974,9,AP-Trees rolling TC-aware (stock-level TC),0.02469267659207399,0.06846947952706063,0.08012810605043302,0.06846947952706063,0.08012810605043302,0.00020032026512608255,0.02449235632694791
19731031,1974-10-31,1974,10,AP-Trees rolling TC-aware (stock-level TC),0.007892754099728599,0.14147060095795275,0.08464735948890972,0.14147060095795275,0.08464735948890972,0.0002116183987222743,0.0076811357010063246
19731130,1974-11-30,1974,11,AP-Trees rolling TC-aware (stock-level TC),-0.057253686607224914,0.06849838403274192,0.09246238029387588,0.06849838403274192,0.09246238029387588,0.0002311559507346897,-0.0574848425579596
19731231,1974-12-31,1974,12,AP-Trees rolling TC-aware (stock-level TC),-0.008155302234988417,0.03810352587909427,0.09277288817619185,0.03810352587909427,0.09277288817619185,0.00023193222044047963,-0.008387234455428896
19740131,1975-01-31,1975,1,AP-Trees rolling TC-aware (stock-level TC),0.04835289726197266,0.11197802287795365,0.09107558553011386,0.11197802287795365,0.09107558553011386,0.00022768896382528464,0.04812520829814737
19740228,1975-02-28,1975,2,AP-Trees rolling TC-aware (stock-level TC),0.004207532296284177,0.10807315461448211,0.10024797933550365,0.10807315461448211,0.10024797933550365,0.00025061994833875913,0.003956912347945418
19740329,1975-03-31,1975,3,AP-Trees rolling TC-aware (stock-level TC),0.0026903363227595515,0.06487077717267492,0.08141339750769777,0.06487077717267492,0.08141339750769777,0.00020353349376924442,0.002486802828990307
19740430,1975-04-30,1975,4,AP-Trees rolling TC-aware (stock-level TC),-0.01022677061962238,0.0560813243459447,0.07964817959167098,0.0560813243459447,0.07964817959167098,0.00019912044897917744,-0.010425891068601558
