date,date_dt,yy,mm,method,gross_ret,turnover_raw,turnover,turnover_portfolio,turnover_stock,cost,net_ret
19930129,1994-01-31,1994,1,AP-Trees static + stock-level TC,0.2182929934490315,1.0,10.033843834381758,1.0,10.033843834381758,0.025084609585954393,0.1932083838630771
19930226,1994-02-28,1994,2,AP-Trees static + stock-level TC,0.3185362199766905,0.0,2.6943701015084534,0.0,2.6943701015084534,0.006735925253771134,0.31180029472291937
19930331,1994-03-31,1994,3,AP-Trees static + stock-level TC,0.15616577916334173,0.0,2.4580891369399263,0.0,2.4580891369399263,0.006145222842349815,0.15002055632099193
19930430,1994-04-30,1994,4,AP-Trees static + stock-level TC,0.1771644626988682,0.0,2.48750189640996,0.0,2.48750189640996,0.0062187547410249,0.1709457079578433
19930528,1994-05-31,1994,5,AP-Trees static + stock-level TC,0.06670247678290407,0.0,2.257566669124695,0.0,2.257566669124695,0.0056439166728117374,0.061058560110092336
19930630,1994-06-30,1994,6,AP-Trees static + stock-level TC,0.07883121248015726,0.0,2.2605571999103136,0.0,2.2605571999103136,0.005651392999775784,0.07317981948038148
19930730,1994-07-31,1994,7,AP-Trees static + stock-level TC,0.06491271779081409,0.0,10.288396952078408,0.0,10.288396952078408,0.02572099238019602,0.03919172541061807
19930831,1994-08-31,1994,8,AP-Trees static + stock-level TC,0.012382628413497127,0.0,2.22813278091383,0.0,2.22813278091383,0.005570331952284575,0.0068122964612125515
19930930,1994-09-30,1994,9,AP-Trees static + stock-level TC,-0.026739246512652425,0.0,2.269833475647833,0.0,2.269833475647833,0.005674583689119582,-0.032413830201772006
19931029,1994-10-31,1994,10,AP-Trees static + stock-level TC,0.09986075169962032,0.0,2.5866714489735037,0.0,2.5866714489735037,0.006466678622433759,0.09339407307718656
19931130,1994-11-30,1994,11,AP-Trees static + stock-level TC,0.18102355936395645,0.0,2.369717688675696,0.0,2.369717688675696,0.00592429422168924,0.1750992651422672
