sample,n_months,mean_monthly,std_monthly,sharpe_ann
train,240,0.002612623210489159,0.04406808950913868,0.20537292140438818
valid,120,0.0075070253532429805,0.04553886459192569,0.5710528552716692
test,276,0.006289683214997474,0.04286970190669449,0.5082401046594439
