date,date_dt,yy,mm,method,gross_ret,turnover_raw,turnover,turnover_portfolio,turnover_stock,cost,net_ret
19930226,1994-02-28,1994,2,AP-Trees static + stock-level TC (lagged trade),0.018582002583766778,1.0,1.0000000000000002,1.0,1.0000000000000002,0.0025000000000000005,0.016082002583766776
19930331,1994-03-31,1994,3,AP-Trees static + stock-level TC (lagged trade),0.03221739351934497,0.0,0.4445964502822852,0.0,0.4445964502822852,0.001111491125705713,0.031105902393639254
19930430,1994-04-30,1994,4,AP-Trees static + stock-level TC (lagged trade),0.018511900554430784,0.0,0.38326423182046987,0.0,0.38326423182046987,0.0009581605795511747,0.01755373997487961
19930528,1994-05-31,1994,5,AP-Trees static + stock-level TC (lagged trade),0.05383692413072836,0.0,0.38437241052543103,0.0,0.38437241052543103,0.0009609310263135776,0.052875993104414785
19930630,1994-06-30,1994,6,AP-Trees static + stock-level TC (lagged trade),0.02473334820880008,0.0,0.36371583648237926,0.0,0.36371583648237926,0.0009092895912059482,0.02382405861759413
19930730,1994-07-31,1994,7,AP-Trees static + stock-level TC (lagged trade),0.028253591539104887,0.0,0.35210161846034815,0.0,0.35210161846034815,0.0008802540461508704,0.027373337492954015
19930831,1994-08-31,1994,8,AP-Trees static + stock-level TC (lagged trade),0.03421319423606672,0.0,0.488701733544744,0.0,0.488701733544744,0.00122175433386186,0.03299143990220486
19930930,1994-09-30,1994,9,AP-Trees static + stock-level TC (lagged trade),0.04331671457767308,0.0,0.3224498160342878,0.0,0.3224498160342878,0.0008061245400857195,0.042510590037587365
19931029,1994-10-31,1994,10,AP-Trees static + stock-level TC (lagged trade),0.06674626487935628,0.0,0.3383592496322325,0.0,0.3383592496322325,0.0008458981240805813,0.0659003667552757
19931130,1994-11-30,1994,11,AP-Trees static + stock-level TC (lagged trade),-0.005106976475884362,0.0,0.37919899249288924,0.0,0.37919899249288924,0.0009479974812322231,-0.006054973957116586
19931231,1994-12-31,1994,12,AP-Trees static + stock-level TC (lagged trade),0.00335695942417946,0.0,0.32273489679120293,0.0,0.32273489679120293,0.0008068372419780073,0.0025501221822014524
19940131,1995-01-31,1995,1,AP-Trees static + stock-level TC (lagged trade),0.07918932393398406,0.0,0.31268177478666026,0.0,0.31268177478666026,0.0007817044369666506,0.07840761949701741
19940228,1995-02-28,1995,2,AP-Trees static + stock-level TC (lagged trade),0.020279395341391178,0.0,0.35099099501556075,0.0,0.35099099501556075,0.0008774774875389019,0.019401917853852275
19940331,1995-03-31,1995,3,AP-Trees static + stock-level TC (lagged trade),-0.029185789710336717,0.0,0.35411902858986294,0.0,0.35411902858986294,0.0008852975714746574,-0.030071087281811373
19940429,1995-04-30,1995,4,AP-Trees static + stock-level TC (lagged trade),-0.031071152325917315,0.0,0.3210862377354837,0.0,0.3210862377354837,0.0008027155943387093,-0.031873867920256024
19940531,1995-05-31,1995,5,AP-Trees static + stock-level TC (lagged trade),0.012595829601678758,0.0,0.3207171629622264,0.0,0.3207171629622264,0.000801792907405566,0.011794036694273192
19940630,1995-06-30,1995,6,AP-Trees static + stock-level TC (lagged trade),-0.038804716558506085,0.0,0.31549426862954144,0.0,0.31549426862954144,0.0007887356715738536,-0.039593452230079935
19940729,1995-07-31,1995,7,AP-Trees static + stock-level TC (lagged trade),-0.001969274362119686,0.0,0.32565439046396216,0.0,0.32565439046396216,0.0008141359761599054,-0.002783410338279591
19940831,1995-08-31,1995,8,AP-Trees static + stock-level TC (lagged trade),0.024052765773704046,0.0,0.4793453929817252,0.0,0.4793453929817252,0.001198363482454313,0.022854402291249732
19940930,1995-09-30,1995,9,AP-Trees static + stock-level TC (lagged trade),0.026773685460046933,0.0,0.3182141474267477,0.0,0.3182141474267477,0.0007955353685668693,0.025978150091480065
19941031,1995-10-31,1995,10,AP-Trees static + stock-level TC (lagged trade),-0.008440696345591348,0.0,0.3547403435795625,0.0,0.3547403435795625,0.0008868508589489064,-0.009327547204540255
19941130,1995-11-30,1995,11,AP-Trees static + stock-level TC (lagged trade),-0.043640376028297796,0.0,0.33137308332410975,0.0,0.33137308332410975,0.0008284327083102744,-0.04446880873660807
