sample,n_months,mean_monthly,std_monthly,sharpe_ann
train,240,0.019268322809586198,0.07777437989995661,0.8582187122744314
valid,120,0.015484776630841357,0.06222278672157344,0.8620771033121686
test,275,0.014841817557155917,0.06897446639059601,0.7453999554005021
