date,date_dt,yy,mm,method,gross_ret,turnover_raw,turnover,turnover_portfolio,turnover_stock,cost,net_ret,wealth_gross,wealth_net,drawdown_net
19930129,1994-01-31,1994,1,"AP-Trees baseline (static, no TC)",0.019821629021387274,1.0,0.8773495579160783,1.0,0.8773495579160783,0.0,0.019821629021387274,1.0198216290213873,1.0198216290213873,0.0
19930226,1994-02-28,1994,2,"AP-Trees baseline (static, no TC)",0.02881690053314873,0.0,0.23879038399380875,0.0,0.23879038399380875,0.0,0.02881690053314873,1.0492097274664502,1.0492097274664502,0.0
19930331,1994-03-31,1994,3,"AP-Trees baseline (static, no TC)",0.014133185136375539,0.0,0.21702230319816956,0.0,0.21702230319816956,0.0,0.014133185136375539,1.0640384027916197,1.0640384027916197,0.0
19930430,1994-04-30,1994,4,"AP-Trees baseline (static, no TC)",0.016120543509016483,0.0,0.22002078522834212,0.0,0.22002078522834212,0.0,0.016120543509016483,1.0811912801590862,1.0811912801590862,0.0
19930528,1994-05-31,1994,5,"AP-Trees baseline (static, no TC)",0.006120557237635494,0.0,0.19952140401491425,0.0,0.19952140401491425,0.0,0.006120557237635494,1.0878087732741322,1.0878087732741322,0.0
19930630,1994-06-30,1994,6,"AP-Trees baseline (static, no TC)",0.00749132371125671,0.0,0.19995833886631006,0.0,0.19995833886631006,0.0,0.00749132371125671,1.0959579009306737,1.0959579009306737,0.0
19930730,1994-07-31,1994,7,"AP-Trees baseline (static, no TC)",0.0057291310617812894,0.0,0.906466099386494,0.0,0.906466099386494,0.0,0.0057291310617812894,1.1022367873833003,1.1022367873833003,0.0
19930831,1994-08-31,1994,8,"AP-Trees baseline (static, no TC)",0.0010896216133784303,0.0,0.19721418478223887,0.0,0.19721418478223887,0.0,0.0010896216133784303,1.103437808409894,1.103437808409894,0.0
19930930,1994-09-30,1994,9,"AP-Trees baseline (static, no TC)",-0.0023552951941678978,0.0,0.2009698967438262,0.0,0.2009698967438262,0.0,-0.0023552951941678978,1.100838886642683,1.100838886642683,-0.0023552951941677724
19931029,1994-10-31,1994,10,"AP-Trees baseline (static, no TC)",0.008621878370120102,0.0,0.22912482250362082,0.0,0.22912482250362082,0.0,0.008621878370120102,1.1103301856284147,1.1103301856284147,0.0
