date,date_dt,yy,mm,method,gross_ret,turnover_raw,turnover,cost,net_ret,wealth_gross,wealth_net,drawdown_net
19940131,1994-01-31,1994,1,S&P 500 (SPY adjusted close),0.034876068421970885,0.0,0.0,0.0,0.034876068421970885,1.0348760684219709,1.0348760684219709,0.0
19940228,1994-02-28,1994,2,S&P 500 (SPY adjusted close),-0.029163183554849925,0.0,0.0,0.0,-0.029163183554849925,1.0046957876820595,1.0046957876820595,-0.029163183554849925
19940331,1994-03-31,1994,3,S&P 500 (SPY adjusted close),-0.04190210319202592,0.0,0.0,0.0,-0.04190210319202592,0.962596921110012,0.962596921110012,-0.0698432880201526
19940430,1994-04-30,1994,4,S&P 500 (SPY adjusted close),0.011212237618432486,0.0,0.0,0.0,0.011212237618432486,0.973389786520269,0.973389786520269,-0.05941414994305472
19940531,1994-05-31,1994,5,S&P 500 (SPY adjusted close),0.015938918334572616,0.0,0.0,0.0,0.015938918334572616,0.9889045668353226,0.9889045668353226,-0.044422228892342486
19940630,1994-06-30,1994,6,S&P 500 (SPY adjusted close),-0.022913284462012684,0.0,0.0,0.0,-0.022913284462012684,0.9662455151896414,0.9662455151896414,-0.06631765418730828
19940731,1994-07-31,1994,7,S&P 500 (SPY adjusted close),0.032325274278901084,0.0,0.0,0.0,0.032325274278901084,0.9974796664889046,0.9974796664889046,-0.03613611626954527
19940831,1994-08-31,1994,8,S&P 500 (SPY adjusted close),0.03812142093952953,0.0,0.0,0.0,0.03812142093952953,1.0355050087337496,1.0355050087337496,0.0
19940930,1994-09-30,1994,9,S&P 500 (SPY adjusted close),-0.02525535210183727,0.0,0.0,0.0,-0.02525535210183727,1.0093529651349626,1.0093529651349626,-0.02525535210183727
19941031,1994-10-31,1994,10,S&P 500 (SPY adjusted close),0.028426895099975535,0.0,0.0,0.0,0.028426895099975535,1.0380457359937034,1.0380457359937034,0.0
19941130,1994-11-30,1994,11,S&P 500 (SPY adjusted close),-0.039815691220149385,0.0,0.0,0.0,-0.039815691220149385,0.9967152274969854,0.9967152274969854,-0.039815691220149385
19941231,1994-12-31,1994,12,S&P 500 (SPY adjusted close),0.007281916765112362,0.0,0.0,0.0,0.007281916765112362,1.0039732248221385,1.0039732248221385,-0.03282370900444764
19950131,1995-01-31,1995,1,S&P 500 (SPY adjusted close),0.033607961786616514,0.0,0.0,0.0,0.033607961786616514,1.037714718596747,1.037714718596747,-0.00031888517574762965
19950228,1995-02-28,1995,2,S&P 500 (SPY adjusted close),0.040809970742865964,0.0,0.0,0.0,0.040809970742865964,1.0800638259021216,1.0800638259021216,0.0
19950331,1995-03-31,1995,3,S&P 500 (SPY adjusted close),0.027847500757631316,0.0,0.0,0.0,0.027847500757631316,1.110140904112221,1.110140904112221,0.0
19950430,1995-04-30,1995,4,S&P 500 (SPY adjusted close),0.029622457250214396,0.0,0.0,0.0,0.029622457250214396,1.1430260055859995,1.1430260055859995,0.0
19950531,1995-05-31,1995,5,S&P 500 (SPY adjusted close),0.039673197455987186,0.0,0.0,0.0,0.039673197455987186,1.1883735020029411,1.1883735020029411,0.0
19950630,1995-06-30,1995,6,S&P 500 (SPY adjusted close),0.020229347488866622,0.0,0.0,0.0,0.020229347488866622,1.21241352252152,1.21241352252152,0.0
19950731,1995-07-31,1995,7,S&P 500 (SPY adjusted close),0.03216559363817506,0.0,0.0,0.0,0.03216559363817506,1.2514115232083756,1.2514115232083756,0.0
19950831,1995-08-31,1995,8,S&P 500 (SPY adjusted close),0.004451928635521352,0.0,0.0,0.0,0.004451928635521352,1.2569827180033684,1.2569827180033684,0.0
19950930,1995-09-30,1995,9,S&P 500 (SPY adjusted close),0.04237654526990986,0.0,0.0,0.0,0.04237654526990986,1.3102493030563325,1.3102493030563325,0.0
19951031,1995-10-31,1995,10,S&P 500 (SPY adjusted close),-0.002938919462705858,0.0,0.0,0.0,-0.002938919462705858,1.3063985858785834,1.3063985858785834,-0.002938919462705858
19951130,1995-11-30,1995,11,S&P 500 (SPY adjusted close),0.044479836022478514,0.0,0.0,0.0,0.044479836022478514,1.3645069807584607,1.3645069807584607,0.0
19951231,1995-12-31,1995,12,S&P 500 (SPY adjusted close),0.01573305840017669,0.0,0.0,0.0,0.01573305840017669,1.3859748487741823,1.3859748487741823,0.0
19960131,1996-01-31,1996,1,S&P 500 (SPY adjusted close),0.0355784078065553,0.0,0.0,0.0,0.0355784078065553,1.435285627153499,1.435285627153499,0.0
