Date,Mkt-RF,LME,BEME,OP,Investment,r12_2,ST_REV,LT_REV,AC,IdioVol,Lturnover,rf
196705,-0.0433,0.035585335,-0.000746993,0.010051796,0.02017277,0.000847636,0.021546148,-0.005982125,-0.003942722,-0.000683716,0.015765936,0.0033
196706,0.0241,0.06538019,-0.005827313,0.013971186,-0.022851363,-0.06979158,-0.014486686,-0.003142115,-0.022988795,-0.098257598,-0.09428721,0.0027
196707,0.0458,0.046099417,-0.00963668,0.00971247,0.020261534,0.019886484,0.004236823,-0.008319605,-0.006217446,-0.02837991,-0.019119379,0.0031
196708,-0.0089,0.006901901,-0.012038891,-0.007539327,0.012539656,0.013193462,0.006803395,-0.000972348,-0.001359016,0.017044087,0.019995014,0.0031
196709,0.0311,0.052262917,0.021753915,0.002583039,-0.010433717,-0.016454976,-0.007915116,-0.004607516,-0.030230919,-0.014846413,-0.007187002,0.0032
196710,-0.0309,0.018425779,0.030915565,-0.022349079,-0.023620901,-0.020686449,-0.016663066,0.003235691,0.003623544,0.006453442,-0.002773288,0.0039
196711,0.0037,-0.008993234,0.013084022,-0.010346317,-0.017856277,-0.003791258,0.014649743,-0.022483206,0.01377166,0.002064635,0.005025179,0.0036
196712,0.0305,0.064310515,0.000111655,0.006664369,-0.002068374,-0.053323389,0.006826279,0.023771515,-0.005059494,-0.060344886,-0.063907631,0.0033
196801,-0.0406,0.061471353,-0.041069493,0.026020656,0.044312533,0.030156671,0.039322398,0.052587931,0.032119978,0.011633003,0.047059147,0.004
196802,-0.0375,-0.031907492,-0.01277024,0.005973036,0.023284056,0.036239088,0.002592578,0.017799101,0.009965846,0.060339337,0.06916979,0.0039
196803,0.002,-0.015592825,0.001971791,-0.008193992,-0.012069068,-0.015648365,0.005132728,-0.014140567,0.00120965,0.004000975,-0.010185941,0.0038
196804,0.0905,0.070933568,0.010186165,-0.01940749,-0.035081936,-0.071776771,0.001431808,-0.031013335,-0.022698722,-0.073201833,-0.075922902,0.0043
196805,0.0228,0.082061042,0.004241781,-0.003086772,-0.015275829,-0.047032591,-0.016723575,-0.009709683,-0.00656787,-0.044102068,-0.035413242,0.0045
196806,0.0069,-0.009172277,-0.015666754,0.012213676,0.016275137,0.018149017,0.027655876,0.025093985,0.018556287,0.032884036,0.051680604,0.0043
196807,-0.0272,-0.010609559,-0.051149642,0.026259699,0.026834522,0.001761617,-0.013122905,0.061537614,0.01632313,0.03615991,0.050634187,0.0048
196808,0.0134,0.025522373,-0.010667012,0.00966863,0.006836728,-0.020309756,0.00305653,0.012801949,0.004179605,-0.008485473,-0.007577058,0.0042
196809,0.0403,0.026851363,-0.005836743,0.019009735,0.009455962,-0.004941434,-0.004027831,0.001007809,0.000102689,-0.048554287,-0.036649363,0.0043
196810,0.0042,-0.004365115,-0.034302647,0.015814594,0.020985983,0.00864372,0.021130844,0.028595305,-0.006034474,0.037372181,0.05258678,0.0044
196811,0.0543,0.020634088,0.009920112,-0.00269876,-0.028083584,-0.023518162,0.02420509,-0.02167049,0.00040395,-0.042579679,-0.040537832,0.0042
196812,-0.0394,0.05177157,0.00234564,0.014920715,0.019528795,-0.00150363,0.024884352,-0.011503028,0.00096869,-0.028159076,0.004031028,0.0043
196901,-0.0125,-0.00566303,-0.011474691,0.0156845,0.013765505,0.005077474,0.016967421,0.015564273,0.012582623,0.000940058,0.011453902,0.0053
196902,-0.0584,-0.045601501,-0.013359578,-0.016216237,0.004716534,0.027408184,0.024097129,0.029277631,0.003910345,0.056999634,0.073605019,0.0046
196903,0.0264,-0.010747188,0.004102605,0.016384176,-0.007594447,-0.038855599,0.011999389,0.004927821,0.017440303,-0.005445642,-0.022874703,0.0046
196904,0.0146,-0.023056716,0.005224604,-0.003271903,-0.003771656,-0.008232052,-0.012674099,0.003966552,-0.002961559,0.007951859,-0.005728543,0.0053
196905,-0.001,-0.002800847,-0.005602512,0.020832637,0.012859333,-0.021855161,0.014374404,0.006537835,0.000439347,-0.008914446,-0.000519113,0.0048
196906,-0.0718,-0.063944507,0.010718027,-0.034785924,-0.015119452,0.023231091,0.006171065,0.015054538,0.00984366,0.064398128,0.065374005,0.0051
196907,-0.07,-0.044642686,-0.012849104,-0.016901227,0.017248149,-0.007693352,-0.011299139,0.030459008,0.00851033,0.045354495,0.046438565,0.0053
196908,0.0468,3.53E-05,0.034440111,-0.009584659,-0.023909686,-0.013228737,0.033539363,-0.031798178,-0.016712408,-0.031313663,-0.04382445,0.005
196909,-0.0298,-0.008381532,0.02253297,-0.014180041,0.004095214,-0.025332621,0.015622644,-0.004637025,0.00244755,0.016957105,0.016541335,0.0062
196910,0.0506,0.047956473,0.038378695,-0.010273656,-0.026384289,0.052781577,0.009794585,-0.025856951,-0.008561728,-0.037324798,-0.025072955,0.006
196911,-0.0379,-0.033084417,0.001825375,0.00291023,0.008718849,-0.042183694,0.023384867,-4.41E-05,-0.001318839,0.030135392,0.016885346,0.0052
196912,-0.0263,-0.065502521,0.006909623,-0.01778169,-0.013098824,-0.058060078,-0.03600446,0.013380132,0.001585104,0.04225735,0.018144368,0.0064
197001,-0.081,0.04175507,-0.026124699,0.029479891,0.037306216,0.006839366,0.012604508,0.031223236,0.005624817,0.025657068,0.046079544,0.006
197002,0.0513,-0.025920697,-0.032119784,0.01795769,0.017744335,-0.005203653,0.023259005,0.02772551,-0.013715164,-0.00297183,0.003282248,0.0062
197003,-0.0106,-0.027852915,-0.048729274,-0.000129196,0.039565355,0.003442542,0.010440935,0.049189631,0.008021355,0.043711892,0.043065014,0.0057
197004,-0.11,-0.074350246,-0.074418767,-0.000577919,0.052856507,-0.016928878,-0.042626057,0.077774055,0.014755098,0.08434476,0.082785133,0.005
197005,-0.0692,-0.038293452,-0.028597749,0.004738606,0.027022167,0.016510603,-0.022365127,0.031656116,0.01150372,0.024300989,0.039081077,0.0053
197006,-0.0579,-0.044290528,-0.030371784,0.011703297,0.029632606,-0.072872936,0.013680928,0.023504577,0.006454527,0.065146775,0.063639726,0.0058
197007,0.0693,-0.022248002,-0.009513054,0.005731834,0.019924849,0.021592845,0.040927162,0.01264619,0.014755219,-0.007068114,-0.017026259,0.0052
197008,0.0449,0.018259779,-0.002168834,-0.003512872,-0.001848026,0.057499907,0.031733909,-0.002557567,0.001043364,-0.036624301,-0.038200707,0.0053
197009,0.0418,0.116033319,0.069839583,-0.021034358,-0.05188162,0.101985038,0.050591806,-0.061678914,-0.031507248,-0.103785225,-0.064442249,0.0054
197010,-0.0228,-0.060115594,-0.008628525,-0.011801055,0.028855839,-0.102804333,0.075217858,0.008201707,0.010742721,0.084588457,0.053451715,0.0046
197011,0.0459,-0.06378457,-0.025967605,-0.027861169,0.001053466,-0.02977509,-0.013445995,0.013557889,0.001451956,0.053825934,0.005794155,0.0046
197012,0.0572,0.027123745,-0.026651944,-0.014893895,0.001953547,0.006692788,0.015400008,0.022932646,-0.001335807,0.008152522,0.004415488,0.0042
197101,0.0484,0.104194007,-0.006767109,0.008946261,-0.018434561,0.082857136,0.027809469,0.011200969,0.010840583,-0.064118273,-0.023806768,0.0038
197102,0.0141,0.040625773,0.028608997,-0.011272188,-0.00462203,0.004524682,0.016707073,-0.001012553,-0.01334956,-0.024057421,-0.005972946,0.0033
