method,n_months,start_date,end_date,mean_gross_ann,mean_net_ann,vol_gross_ann,vol_net_ann,sharpe_gross_ann,sharpe_net_ann,sharpe_decay_due_to_costs,hit_rate_gross,hit_rate_net,avg_turnover,avg_cost,max_drawdown_net,terminal_wealth_gross,terminal_wealth_net
Triple Sort rolling TC-aware + portfolio-level TC,276,1994-01-31,2016-12-31,0.08949645326367428,0.08949645322345533,0.17645104572772977,0.17645104572648443,0.5072027365696119,0.507202736345259,2.2435286961552947e-10,0.6086956521739131,0.6086956521739131,1.3406322652376862e-09,3.3515806630942155e-12,-0.6080614782430962,5.420966756834751,5.420966751868363
Triple Sort rolling TC-aware + stock-level TC,276,1994-01-31,2016-12-31,0.08949645326367428,0.08424785433999278,0.17645104572772977,0.17649626688792597,0.5072027365696119,0.47733504977467683,0.029867686794935067,0.6086956521739131,0.605072463768116,0.17495329745605057,0.0004373832436401264,-0.6124096106578372,5.420966756834751,4.806087939907698
Triple Sort static (no TC),276,1994-01-31,2016-12-31,0.09513116610870487,0.09513116610870487,0.15089797488317772,0.15089797488317772,0.6304336833039248,0.6304336833039248,0.0,0.6231884057971014,0.6231884057971014,0.0,0.0,-0.5155200160529598,6.794405671521794,6.794405671521794
Triple Sort static + stock-level TC,276,1994-01-31,2016-12-31,0.09513116610870487,0.09046900647246402,0.15089797488317772,0.1509572883212912,0.6304336833039248,0.5993020110424448,0.031131672261479948,0.6231884057971014,0.6195652173913043,0.15540532120802836,0.00038851330302007095,-0.5187730241746784,6.794405671521794,6.105942901209052
