sample,start_row,end_row_exclusive,mean_monthly,std_monthly,sharpe_ann
train,0,240,0.003264257661069198,0.04156796861904121,0.27202965676691315
valid,240,360,0.007923847949780457,0.04199335209967526,0.6536514259635094
test,360,636,0.007929468788454642,0.04356347632980462,0.6305393405548113
