sample,start_row,end_row_exclusive,sharpe_sdf_monthly,sharpe_trade_monthly
cv_train,0,240,0.07852819778096941,0.07852819778096941
cv_valid,240,360,0.18869291336810745,0.18869291336810745
full_train_valid,0,360,0.11549946325306679,0.11549946325306679
test,360,636,0.18202102900198475,0.18202102900198475
