date_dt,yy,mm,candidate,weight
1974-01-31,1974,1,port_V1,0.03124999999952609
1974-01-31,1974,1,port_V2,0.03124999999963068
1974-01-31,1974,1,port_V3,0.031249999999618444
1974-01-31,1974,1,port_V4,0.031249999999236736
1974-01-31,1974,1,port_V5,0.031249999999812938
1974-01-31,1974,1,port_V6,0.03124999999987578
1974-01-31,1974,1,port_V7,0.031249999999612282
1974-01-31,1974,1,port_V8,0.03124999999933925
1974-01-31,1974,1,port_V9,0.031249999999807557
1974-01-31,1974,1,port_V10,0.03125000000016909
1974-01-31,1974,1,port_V11,0.031249999999729536
1974-01-31,1974,1,port_V12,0.031249999999289856
1974-01-31,1974,1,port_V13,0.031249999999523253
1974-01-31,1974,1,port_V14,0.03124999999971935
1974-01-31,1974,1,port_V15,0.031249999999588454
1974-01-31,1974,1,port_V16,0.031249999999386897
1974-01-31,1974,1,port_V17,0.031250000000108365
1974-01-31,1974,1,port_V18,0.03125000000035958
1974-01-31,1974,1,port_V19,0.0312500000004986
1974-01-31,1974,1,port_V20,0.031249999999822843
1974-01-31,1974,1,port_V21,0.031250000000433896
1974-01-31,1974,1,port_V22,0.03125000000061874
1974-01-31,1974,1,port_V23,0.03125000000048111
1974-01-31,1974,1,port_V24,0.03125000000016639
1974-01-31,1974,1,port_V25,0.03125000000045227
1974-01-31,1974,1,port_V26,0.0312500000007174
1974-01-31,1974,1,port_V27,0.03125000000057427
1974-01-31,1974,1,port_V28,0.03125000000021095
1974-01-31,1974,1,port_V29,0.03125000000070094
1974-01-31,1974,1,port_V30,0.03125000000056306
1974-01-31,1974,1,port_V31,0.031250000000312125
1974-01-31,1974,1,port_V32,0.031250000000113264
1974-02-28,1974,2,port_V1,0.031249999999041017
1974-02-28,1974,2,port_V2,0.03124999999925837
1974-02-28,1974,2,port_V3,0.03124999999920821
1974-02-28,1974,2,port_V4,0.031249999998469974
1974-02-28,1974,2,port_V5,0.031249999999624724
1974-02-28,1974,2,port_V6,0.03124999999975251
1974-02-28,1974,2,port_V7,0.031249999999208345
1974-02-28,1974,2,port_V8,0.031249999998642024
1974-02-28,1974,2,port_V9,0.031249999999608424
1974-02-28,1974,2,port_V10,0.031250000000332206
1974-02-28,1974,2,port_V11,0.031249999999446654
1974-02-28,1974,2,port_V12,0.031249999998534127
1974-02-28,1974,2,port_V13,0.031249999999011166
1974-02-28,1974,2,port_V14,0.03124999999942717
1974-02-28,1974,2,port_V15,0.031249999999155165
1974-02-28,1974,2,port_V16,0.031249999998736296
1974-02-28,1974,2,port_V17,0.03125000000022888
1974-02-28,1974,2,port_V18,0.031250000000749165
1974-02-28,1974,2,port_V19,0.031250000001024965
1974-02-28,1974,2,port_V20,0.03124999999962498
1974-02-28,1974,2,port_V21,0.03125000000088513
1974-02-28,1974,2,port_V22,0.03125000000128985
1974-02-28,1974,2,port_V23,0.03125000000098714
1974-02-28,1974,2,port_V24,0.03125000000029256
1974-02-28,1974,2,port_V25,0.03125000000092731
1974-02-28,1974,2,port_V26,0.03125000000147502
1974-02-28,1974,2,port_V27,0.0312500000011666
1974-02-28,1974,2,port_V28,0.031250000000402324
1974-02-28,1974,2,port_V29,0.03125000000143341
1974-02-28,1974,2,port_V30,0.031250000001164624
1974-02-28,1974,2,port_V31,0.03125000000065559
1974-02-28,1974,2,port_V32,0.03125000000023605
1974-03-31,1974,3,port_V1,0.03124999999848098
1974-03-31,1974,3,port_V2,0.031249999998822896
1974-03-31,1974,3,port_V3,0.031249999998752203
1974-03-31,1974,3,port_V4,0.03124999999759448
1974-03-31,1974,3,port_V5,0.03124999999941312
1974-03-31,1974,3,port_V6,0.031249999999619964
1974-03-31,1974,3,port_V7,0.031249999998758052
1974-03-31,1974,3,port_V8,0.0312499999978233
1974-03-31,1974,3,port_V9,0.031249999999365338
1974-03-31,1974,3,port_V10,0.03125000000051146
1974-03-31,1974,3,port_V11,0.031249999999112484
1974-03-31,1974,3,port_V12,0.031249999997650713
1974-03-31,1974,3,port_V13,0.031249999998426318
1974-03-31,1974,3,port_V14,0.031249999999084687
1974-03-31,1974,3,port_V15,0.03124999999865487
1974-03-31,1974,3,port_V16,0.031249999997963927
1974-03-31,1974,3,port_V17,0.03125000000037778
1974-03-31,1974,3,port_V18,0.031250000001192386
1974-03-31,1974,3,port_V19,0.03125000000160878
1974-03-31,1974,3,port_V20,0.03124999999943609
1974-03-31,1974,3,port_V21,0.03125000000141755
1974-03-31,1974,3,port_V22,0.031250000002061226
1974-03-31,1974,3,port_V23,0.031250000001560564
1974-03-31,1974,3,port_V24,0.03125000000047524
1974-03-31,1974,3,port_V25,0.03125000000144781
1974-03-31,1974,3,port_V26,0.03125000000234842
1974-03-31,1974,3,port_V27,0.03125000000186087
1974-03-31,1974,3,port_V28,0.03125000000063303
1974-03-31,1974,3,port_V29,0.031250000002239015
1974-03-31,1974,3,port_V30,0.03125000000183592
1974-03-31,1974,3,port_V31,0.031250000001077444
1974-03-31,1974,3,port_V32,0.031250000000393054
1974-04-30,1974,4,port_V1,0.03124999999785942
1974-04-30,1974,4,port_V2,0.031249999998345733
1974-04-30,1974,4,port_V3,0.031249999998254625
1974-04-30,1974,4,port_V4,0.031249999996625748
1974-04-30,1974,4,port_V5,0.031249999999177172
1974-04-30,1974,4,port_V6,0.031249999999470493
1974-04-30,1974,4,port_V7,0.031249999998261647
1974-04-30,1974,4,port_V8,0.031249999996926403
1974-04-30,1974,4,port_V9,0.031249999999096924
1974-04-30,1974,4,port_V10,0.03125000000069799
1974-04-30,1974,4,port_V11,0.03124999999874304
1974-04-30,1974,4,port_V12,0.03124999999668369
1974-04-30,1974,4,port_V13,0.031249999997769038
1974-04-30,1974,4,port_V14,0.03124999999870571
1974-04-30,1974,4,port_V15,0.031249999998093966
1974-04-30,1974,4,port_V16,0.031249999997112216
1974-04-30,1974,4,port_V17,0.031250000000542684
