date,date_dt,yy,mm,candidate,weight_trade
19740531,1974-05-31,1974,5,port_V30,0.031243531654311422
19740531,1974-05-31,1974,5,port_V31,0.031246297460711215
19740531,1974-05-31,1974,5,port_V32,0.031246850888359556
19740630,1974-06-30,1974,6,port_V1,0.031252276213845055
19740630,1974-06-30,1974,6,port_V2,0.03124593729409595
19740630,1974-06-30,1974,6,port_V4,0.031249021502791224
19740630,1974-06-30,1974,6,port_V5,0.031246593116552125
19740630,1974-06-30,1974,6,port_V6,0.03125591056769318
19740630,1974-06-30,1974,6,port_V7,0.03124910037542607
19740630,1974-06-30,1974,6,port_V9,0.44340461402031905
19740630,1974-06-30,1974,6,port_V10,0.031248427042469412
19740630,1974-06-30,1974,6,port_V12,0.031250996814279286
19740630,1974-06-30,1974,6,port_V13,0.031285108903272026
19740630,1974-06-30,1974,6,port_V14,0.03126117180728334
19740630,1974-06-30,1974,6,port_V15,0.03125046658849674
19740630,1974-06-30,1974,6,port_V17,0.031248349540692725
19740630,1974-06-30,1974,6,port_V18,0.03125116615380516
19740630,1974-06-30,1974,6,port_V19,0.025325464046793138
19740630,1974-06-30,1974,6,port_V23,0.031238725337062227
19740630,1974-06-30,1974,6,port_V30,0.0312435169818961
19740630,1974-06-30,1974,6,port_V31,0.03124630115826873
19740630,1974-06-30,1974,6,port_V32,0.031246852534958267
19740731,1974-07-31,1974,7,port_V1,0.031252259494847556
19740731,1974-07-31,1974,7,port_V2,0.031245921920457897
19740731,1974-07-31,1974,7,port_V4,0.03124899193138609
19740731,1974-07-31,1974,7,port_V5,0.031246595697047116
19740731,1974-07-31,1974,7,port_V6,0.03125593673079094
19740731,1974-07-31,1974,7,port_V7,0.031249115320657037
19740731,1974-07-31,1974,7,port_V9,0.4434046434293143
19740731,1974-07-31,1974,7,port_V10,0.031248430451782175
19740731,1974-07-31,1974,7,port_V12,0.031250974319899975
19740731,1974-07-31,1974,7,port_V13,0.0312851425119749
19740731,1974-07-31,1974,7,port_V14,0.031261194964892394
19740731,1974-07-31,1974,7,port_V15,0.03125043282956611
19740731,1974-07-31,1974,7,port_V17,0.031248352294598675
19740731,1974-07-31,1974,7,port_V18,0.03125116952469831
19740731,1974-07-31,1974,7,port_V19,0.025325455273405212
19740731,1974-07-31,1974,7,port_V23,0.031238716882186296
19740731,1974-07-31,1974,7,port_V30,0.03124350086367015
19740731,1974-07-31,1974,7,port_V31,0.031246308912625538
19740731,1974-07-31,1974,7,port_V32,0.031246856646199524
19740831,1974-08-31,1974,8,port_V1,0.03125224044945767
19740831,1974-08-31,1974,8,port_V2,0.031245901610768
19740831,1974-08-31,1974,8,port_V4,0.031248956429747107
19740831,1974-08-31,1974,8,port_V5,0.031246603143922733
19740831,1974-08-31,1974,8,port_V6,0.031255969755540056
19740831,1974-08-31,1974,8,port_V7,0.031249140826913442
19740831,1974-08-31,1974,8,port_V9,0.44340469068938076
19740831,1974-08-31,1974,8,port_V10,0.03124844283023521
19740831,1974-08-31,1974,8,port_V12,0.03125096071681997
19740831,1974-08-31,1974,8,port_V13,0.031285186655781824
19740831,1974-08-31,1974,8,port_V14,0.03126123063687443
19740831,1974-08-31,1974,8,port_V15,0.03125039056722178
19740831,1974-08-31,1974,8,port_V17,0.031248351475763953
19740831,1974-08-31,1974,8,port_V18,0.031251158798652395
19740831,1974-08-31,1974,8,port_V19,0.025325438358136394
19740831,1974-08-31,1974,8,port_V23,0.03123870223667006
19740831,1974-08-31,1974,8,port_V30,0.031243463388263636
19740831,1974-08-31,1974,8,port_V31,0.03124630635877394
19740831,1974-08-31,1974,8,port_V32,0.031246865071076563
19740930,1974-09-30,1974,9,port_V1,0.031252218403792345
19740930,1974-09-30,1974,9,port_V2,0.031245879016290203
19740930,1974-09-30,1974,9,port_V4,0.031248907190966606
19740930,1974-09-30,1974,9,port_V5,0.031246613435814308
19740930,1974-09-30,1974,9,port_V6,0.03125600400632562
19740930,1974-09-30,1974,9,port_V7,0.0312491757525355
19740930,1974-09-30,1974,9,port_V9,0.4434047316416347
19740930,1974-09-30,1974,9,port_V10,0.031248457355028066
19740930,1974-09-30,1974,9,port_V12,0.031250944587564014
19740930,1974-09-30,1974,9,port_V13,0.031285228874135596
19740930,1974-09-30,1974,9,port_V14,0.0312612628983523
19740930,1974-09-30,1974,9,port_V15,0.031250341203772354
19740930,1974-09-30,1974,9,port_V17,0.03124835424032436
19740930,1974-09-30,1974,9,port_V18,0.03125116305724693
19740930,1974-09-30,1974,9,port_V19,0.025325422487821287
19740930,1974-09-30,1974,9,port_V23,0.031238693941012658
19740930,1974-09-30,1974,9,port_V30,0.031243427739657107
19740930,1974-09-30,1974,9,port_V31,0.031246300218361358
19740930,1974-09-30,1974,9,port_V32,0.03124687394936477
19741031,1974-10-31,1974,10,port_V1,0.031252198924400655
19741031,1974-10-31,1974,10,port_V2,0.031245817083141857
19741031,1974-10-31,1974,10,port_V4,0.031248832755296864
19741031,1974-10-31,1974,10,port_V5,0.031246630642091072
19741031,1974-10-31,1974,10,port_V6,0.031256054171775516
19741031,1974-10-31,1974,10,port_V7,0.031249227892067237
19741031,1974-10-31,1974,10,port_V9,0.44340480708679736
19741031,1974-10-31,1974,10,port_V10,0.03124847850187467
19741031,1974-10-31,1974,10,port_V12,0.0312509244796099
19741031,1974-10-31,1974,10,port_V13,0.03128531348083037
19741031,1974-10-31,1974,10,port_V14,0.03126132625657926
19741031,1974-10-31,1974,10,port_V15,0.03125027861401484
19741031,1974-10-31,1974,10,port_V17,0.03124836256041727
19741031,1974-10-31,1974,10,port_V18,0.031251176695269986
19741031,1974-10-31,1974,10,port_V19,0.025325373855972205
19741031,1974-10-31,1974,10,port_V23,0.03123867831897092
19741031,1974-10-31,1974,10,port_V30,0.031243366857151077
19741031,1974-10-31,1974,10,port_V31,0.03124626781420575
19741031,1974-10-31,1974,10,port_V32,0.03124688400953325
19741130,1974-11-30,1974,11,port_V1,0.031252189493900524
19741130,1974-11-30,1974,11,port_V2,0.031245747494994577
19741130,1974-11-30,1974,11,port_V4,0.03124876098209006
19741130,1974-11-30,1974,11,port_V5,0.031246657747978676
19741130,1974-11-30,1974,11,port_V6,0.031256117951984345
19741130,1974-11-30,1974,11,port_V7,0.031249282611094865
19741130,1974-11-30,1974,11,port_V9,0.44340488967924124
19741130,1974-11-30,1974,11,port_V10,0.031248502124807915
19741130,1974-11-30,1974,11,port_V12,0.03125089976737878
19741130,1974-11-30,1974,11,port_V13,0.031285385520059356
19741130,1974-11-30,1974,11,port_V14,0.03126139383141996
19741130,1974-11-30,1974,11,port_V15,0.03125021591075221
19741130,1974-11-30,1974,11,port_V17,0.031248384841593764
19741130,1974-11-30,1974,11,port_V18,0.031251186980458756
19741130,1974-11-30,1974,11,port_V19,0.02532532787531396
19741130,1974-11-30,1974,11,port_V23,0.03123866676731789
19741130,1974-11-30,1974,11,port_V30,0.03124329994434543
19741130,1974-11-30,1974,11,port_V31,0.03124623623346572
19741130,1974-11-30,1974,11,port_V32,0.03124685424180203
19741231,1974-12-31,1974,12,port_V1,0.03125218099207772
19741231,1974-12-31,1974,12,port_V2,0.0312457137526365
19741231,1974-12-31,1974,12,port_V4,0.031248725545372936
