date_dt,yy,mm,method,gross_ret,turnover_raw,turnover,cost,net_ret
1994-01-31,1994,1,Triple Sort static + stock-level TC,0.016864770008038772,1.0,1.0,0.0025,0.014364770008038772
1994-02-28,1994,2,Triple Sort static + stock-level TC,0.025205068172080746,0.11425662775062528,0.11425662775062528,0.0002856415693765632,0.024919426602704183
1994-03-31,1994,3,Triple Sort static + stock-level TC,0.027099560393056676,0.06090570113454711,0.06090570113454711,0.00015226425283636777,0.026947296140220307
1994-04-30,1994,4,Triple Sort static + stock-level TC,-0.013518242612946955,0.08323323564439207,0.08323323564439207,0.00020808308911098017,-0.013726325702057935
1994-05-31,1994,5,Triple Sort static + stock-level TC,0.02148664505441577,0.0717340641575378,0.0717340641575378,0.0001793351603938445,0.021307309894021926
1994-06-30,1994,6,Triple Sort static + stock-level TC,0.011532734893433039,0.061531103143705926,0.061531103143705926,0.0001538277578592648,0.011378907135573773
1994-07-31,1994,7,Triple Sort static + stock-level TC,0.008333019503186281,0.7326722771400922,0.7326722771400922,0.0018316806928502306,0.006501338810336051
1994-08-31,1994,8,Triple Sort static + stock-level TC,0.036611275900655514,0.051761863266917715,0.051761863266917715,0.0001294046581672943,0.03648187124248822
1994-09-30,1994,9,Triple Sort static + stock-level TC,-0.008660853055983804,0.0489015512852694,0.0489015512852694,0.0001222538782131735,-0.008783106934196977
1994-10-31,1994,10,Triple Sort static + stock-level TC,0.00849050089207301,0.06284216346619108,0.06284216346619108,0.0001571054086654777,0.008333395483407533
1994-11-30,1994,11,Triple Sort static + stock-level TC,-0.025724409838240165,0.06745545174307492,0.06745545174307492,0.0001686386293576873,-0.02589304846759785
1994-12-31,1994,12,Triple Sort static + stock-level TC,0.012387669219890889,0.061643089429510314,0.061643089429510314,0.0001541077235737758,0.012233561496317113
1995-01-31,1995,1,Triple Sort static + stock-level TC,0.028046800088575893,0.06531354978666401,0.06531354978666401,0.00016328387446666004,0.027883516214109234
1995-02-28,1995,2,Triple Sort static + stock-level TC,-0.02920340012464661,0.09055851647265317,0.09055851647265317,0.00022639629118163294,-0.029429796415828244
1995-03-31,1995,3,Triple Sort static + stock-level TC,-0.0450759063999944,0.05608098797438888,0.05608098797438888,0.0001402024699359722,-0.04521610886993037
1995-04-30,1995,4,Triple Sort static + stock-level TC,0.013005881157299195,0.05714856534494908,0.05714856534494908,0.00014287141336237271,0.012863009743936822
1995-05-31,1995,5,Triple Sort static + stock-level TC,-0.011746770101842337,0.06079163192754879,0.06079163192754879,0.00015197907981887197,-0.011898749181661209
1995-06-30,1995,6,Triple Sort static + stock-level TC,-0.02792778296819691,0.0756399142083388,0.0756399142083388,0.000189099785520847,-0.028116882753717758
1995-07-31,1995,7,Triple Sort static + stock-level TC,0.028062855468276103,0.9081223035544064,0.9081223035544064,0.002270305758886016,0.025792549709390086
1995-08-31,1995,8,Triple Sort static + stock-level TC,0.03318271464482987,0.054501862019585325,0.054501862019585325,0.00013625465504896333,0.03304645998978091
1995-09-30,1995,9,Triple Sort static + stock-level TC,-0.014885856548614011,0.060709745930669475,0.060709745930669475,0.0001517743648266737,-0.015037630913440686
1995-10-31,1995,10,Triple Sort static + stock-level TC,0.01168815043835352,0.06176334283361811,0.06176334283361811,0.00015440835708404528,0.011533742081269475
1995-11-30,1995,11,Triple Sort static + stock-level TC,-0.040833783144849985,0.06642387255465411,0.06642387255465411,0.00016605968138663527,-0.04099984282623662
1995-12-31,1995,12,Triple Sort static + stock-level TC,0.003922055927028267,0.056404421013989764,0.056404421013989764,0.0001410110525349744,0.0037810448744932928
1996-01-31,1996,1,Triple Sort static + stock-level TC,0.016415111226758348,0.04947121670412891,0.04947121670412891,0.00012367804176032228,0.016291433184998025
1996-02-29,1996,2,Triple Sort static + stock-level TC,0.0354667800491119,0.06623027254147595,0.06623027254147595,0.00016557568135368989,0.03530120436775821
1996-03-31,1996,3,Triple Sort static + stock-level TC,0.02399783057732691,0.051060128010945637,0.051060128010945637,0.0001276503200273641,0.023870180257299544
1996-04-30,1996,4,Triple Sort static + stock-level TC,0.02076152911021399,0.059443922031977986,0.059443922031977986,0.00014860980507994497,0.020612919305134047
1996-05-31,1996,5,Triple Sort static + stock-level TC,0.03280043582604786,0.06444330932611791,0.06444330932611791,0.0001611082733152948,0.032639327552732564
1996-06-30,1996,6,Triple Sort static + stock-level TC,0.02232944404764361,0.05849724171459221,0.05849724171459221,0.00014624310428648052,0.022183200943357132
1996-07-31,1996,7,Triple Sort static + stock-level TC,0.0401973788239846,0.7786785983149974,0.7786785983149974,0.0019466964957874937,0.03825068232819711
1996-08-31,1996,8,Triple Sort static + stock-level TC,0.00831467208108189,0.0613511364467675,0.0613511364467675,0.00015337784111691874,0.008161294239964971
1996-09-30,1996,9,Triple Sort static + stock-level TC,0.028559052403262588,0.05876340859002148,0.05876340859002148,0.00014690852147505371,0.028412143881787533
1996-10-31,1996,10,Triple Sort static + stock-level TC,-0.017482789092478995,0.05997145796136383,0.05997145796136383,0.00014992864490340958,-0.017632717737382404
1996-11-30,1996,11,Triple Sort static + stock-level TC,0.04384617038205801,0.08519086235464056,0.08519086235464056,0.00021297715588660142,0.04363319322617141
1996-12-31,1996,12,Triple Sort static + stock-level TC,0.016987057735171077,0.07106069251391776,0.07106069251391776,0.0001776517312847944,0.016809406003886283
1997-01-31,1997,1,Triple Sort static + stock-level TC,0.015767640782032355,0.08681456895282136,0.08681456895282136,0.0002170364223820534,0.015550604359650302
1997-02-28,1997,2,Triple Sort static + stock-level TC,0.00966301740995218,0.07491855510788936,0.07491855510788936,0.0001872963877697234,0.009475721022182457
1997-03-31,1997,3,Triple Sort static + stock-level TC,0.020747318383519276,0.06184737538947679,0.06184737538947679,0.00015461843847369198,0.020592699945045582
1997-04-30,1997,4,Triple Sort static + stock-level TC,0.016551569621259116,0.07775908260075509,0.07775908260075509,0.00019439770650188774,0.01635717191475723
1997-05-31,1997,5,Triple Sort static + stock-level TC,0.02329064876556039,0.07482123439921312,0.07482123439921312,0.00018705308599803282,0.02310359567956236
1997-06-30,1997,6,Triple Sort static + stock-level TC,-0.013499413854575261,0.058474448956631536,0.058474448956631536,0.00014618612239157883,-0.01364559997696684
1997-07-31,1997,7,Triple Sort static + stock-level TC,-0.052246184949466916,0.8961059178631301,0.8961059178631301,0.0022402647946578253,-0.05448644974412474
1997-08-31,1997,8,Triple Sort static + stock-level TC,0.03386383763744661,0.062205322252857825,0.062205322252857825,0.00015551330563214457,0.03370832433181446
1997-09-30,1997,9,Triple Sort static + stock-level TC,0.030600689736722267,0.05981510759763724,0.05981510759763724,0.0001495377689940931,0.030451151967728175
1997-10-31,1997,10,Triple Sort static + stock-level TC,0.023262989659831826,0.05787151931529376,0.05787151931529376,0.0001446787982882344,0.023118310861543593
1997-11-30,1997,11,Triple Sort static + stock-level TC,0.053702131650165796,0.07435014467118592,0.07435014467118592,0.0001858753616779648,0.05351625628848783
1997-12-31,1997,12,Triple Sort static + stock-level TC,-0.006254151534462149,0.06593043332235585,0.06593043332235585,0.0001648260833058896,-0.006418977617768039
1998-01-31,1998,1,Triple Sort static + stock-level TC,0.03431840874597507,0.0687053445806581,0.0687053445806581,0.00017176336145164527,0.03414664538452342
1998-02-28,1998,2,Triple Sort static + stock-level TC,0.005674426440186991,0.0783504526430539,0.0783504526430539,0.00019587613160763475,0.005478550308579356
1998-03-31,1998,3,Triple Sort static + stock-level TC,-0.025685278351706135,0.06392233835037309,0.06392233835037309,0.00015980584587593273,-0.02584508419758207
1998-04-30,1998,4,Triple Sort static + stock-level TC,0.011241943179406055,0.07488717035645555,0.07488717035645555,0.00018721792589113887,0.011054725253514915
1998-05-31,1998,5,Triple Sort static + stock-level TC,0.07158175012355156,0.06728437670818409,0.06728437670818409,0.00016821094177046022,0.0714135391817811
1998-06-30,1998,6,Triple Sort static + stock-level TC,0.044145742050353175,0.07077694916271343,0.07077694916271343,0.00017694237290678358,0.043968799677446394
1998-07-31,1998,7,Triple Sort static + stock-level TC,0.06758053072820394,0.8299426236745999,0.8299426236745999,0.0020748565591865,0.06550567416901744
1998-08-31,1998,8,Triple Sort static + stock-level TC,-0.03521222521375179,0.08021909837519701,0.08021909837519701,0.00020054774593799253,-0.03541277295968978
1998-09-30,1998,9,Triple Sort static + stock-level TC,0.05713978553399554,0.0782189934996174,0.0782189934996174,0.00019554748374904353,0.056944238050246496
1998-10-31,1998,10,Triple Sort static + stock-level TC,-0.04041782275474071,0.08409624185234686,0.08409624185234686,0.00021024060463086715,-0.04062806335937158
1998-11-30,1998,11,Triple Sort static + stock-level TC,0.026260664892501038,0.09483342226889885,0.09483342226889885,0.00023708355567224711,0.02602358133682879
1998-12-31,1998,12,Triple Sort static + stock-level TC,0.008302866344885355,0.06997784723484751,0.06997784723484751,0.0001749446180871188,0.008127921726798236
1999-01-31,1999,1,Triple Sort static + stock-level TC,-0.01248709821458124,0.09323517604435493,0.09323517604435493,0.00023308794011088732,-0.012720186154692127
1999-02-28,1999,2,Triple Sort static + stock-level TC,0.06233693276550966,0.07160551728535863,0.07160551728535863,0.00017901379321339658,0.062157918972296264
1999-03-31,1999,3,Triple Sort static + stock-level TC,0.04480256667024662,0.06781887503096878,0.06781887503096878,0.00016954718757742197,0.04463301948266919
1999-04-30,1999,4,Triple Sort static + stock-level TC,0.009641274154311489,0.06748948662283832,0.06748948662283832,0.00016872371655709582,0.009472550437754393
1999-05-31,1999,5,Triple Sort static + stock-level TC,-0.028329332633990043,0.06783114656699801,0.06783114656699801,0.00016957786641749503,-0.028498910500407537
1999-06-30,1999,6,Triple Sort static + stock-level TC,0.009136786275043907,0.07291173541094004,0.07291173541094004,0.0001822793385273501,0.008954506936516556
1999-07-31,1999,7,Triple Sort static + stock-level TC,-0.03167102413034167,0.9243636829166636,0.9243636829166636,0.002310909207291659,-0.03398193333763332
1999-08-31,1999,8,Triple Sort static + stock-level TC,-0.15459966485164978,0.08972904029605716,0.08972904029605716,0.0002243226007401429,-0.15482398745238993
1999-09-30,1999,9,Triple Sort static + stock-level TC,0.056101610681465006,0.12558160621900266,0.12558160621900266,0.00031395401554750666,0.0557876566659175
1999-10-31,1999,10,Triple Sort static + stock-level TC,0.07783172084675401,0.13959129607600682,0.13959129607600682,0.000348978240190017,0.07748274260656399
1999-11-30,1999,11,Triple Sort static + stock-level TC,0.05637749477529345,0.11909644396225447,0.11909644396225447,0.00029774110990563615,0.05607975366538781
