date,date_dt,yy,mm,method,gross_ret,turnover_raw,turnover,cost,net_ret,wealth_gross,wealth_net,drawdown_net
19930129,1994-01-31,1994,1,"AP-Trees baseline (static, no TC)",0.01997132379092751,0.05,0.05,0.0,0.01997132379092751,1.0199713237909276,1.0199713237909276,0.0
19930226,1994-02-28,1994,2,"AP-Trees baseline (static, no TC)",0.04536219285450922,0.05,0.05,0.0,0.04536219285450922,1.0662394596868006,1.0662394596868006,0.0
19930331,1994-03-31,1994,3,"AP-Trees baseline (static, no TC)",0.029807927416652308,0.05,0.05,0.0,0.029807927416652308,1.0980218481099153,1.0980218481099153,0.0
19930430,1994-04-30,1994,4,"AP-Trees baseline (static, no TC)",-0.018234520886595423,0.05,0.05,0.0,-0.018234520886595423,1.077999945786617,1.077999945786617,-0.018234520886595385
19930528,1994-05-31,1994,5,"AP-Trees baseline (static, no TC)",0.01858721602987316,0.05,0.05,0.0,0.01858721602987316,1.0980369636591445,1.0980369636591445,0.0
19930630,1994-06-30,1994,6,"AP-Trees baseline (static, no TC)",0.016110245260905143,0.05,0.05,0.0,0.016110245260905143,1.115726608449233,1.115726608449233,0.0
19930730,1994-07-31,1994,7,"AP-Trees baseline (static, no TC)",0.013914096649887735,0.05,0.05,0.0,0.013914096649887735,1.131250936314047,1.131250936314047,0.0
19930831,1994-08-31,1994,8,"AP-Trees baseline (static, no TC)",0.04480526763890087,0.05,0.05,0.0,0.04480526763890087,1.1819369372823552,1.1819369372823552,0.0
19930930,1994-09-30,1994,9,"AP-Trees baseline (static, no TC)",-0.005720828816994545,0.05,0.05,0.0,-0.005720828816994545,1.17517527839168,1.17517527839168,-0.005720828816994539
19931029,1994-10-31,1994,10,"AP-Trees baseline (static, no TC)",0.0055249946103774344,0.05,0.05,0.0,0.0055249946103774344,1.181668115471043,1.181668115471043,-0.00022744175499789243
19931130,1994-11-30,1994,11,"AP-Trees baseline (static, no TC)",-0.027834351816096913,0.05,0.05,0.0,-0.027834351816096913,1.1487771494151575,1.1487771494151575,-0.028055462877268567
19931231,1994-12-31,1994,12,"AP-Trees baseline (static, no TC)",0.014180949888754268,0.05,0.05,0.0,0.014180949888754268,1.1650679006043598,1.1650679006043598,-0.014272366101682699
19940131,1995-01-31,1995,1,"AP-Trees baseline (static, no TC)",0.030227077984040333,0.05,0.05,0.0,0.030227077984040333,1.20028449889263,1.20028449889263,0.0
19940228,1995-02-28,1995,2,"AP-Trees baseline (static, no TC)",-0.0304062393373757,0.05,0.05,0.0,-0.0304062393373757,1.1637883611463586,1.1637883611463586,-0.03040623933737574
19940331,1995-03-31,1995,3,"AP-Trees baseline (static, no TC)",-0.046422828279731064,0.05,0.05,0.0,-0.046422828279731064,1.1097620139029116,1.1097620139029116,-0.07541752398971535
19940429,1995-04-30,1995,4,"AP-Trees baseline (static, no TC)",0.02555115675957829,0.05,0.05,0.0,0.02555115675957829,1.1381177170859702,1.1381177170859702,-0.051793372208017496
19940531,1995-05-31,1995,5,"AP-Trees baseline (static, no TC)",-0.004495504165351823,0.05,0.05,0.0,-0.004495504165351823,1.1330013041481495,1.1330013041481495,-0.0560560390528706
19940630,1995-06-30,1995,6,"AP-Trees baseline (static, no TC)",-0.01639609648800435,0.05,0.05,0.0,-0.01639609648800435,1.1144245054443016,1.1144245054443016,-0.07153303531582877
19940729,1995-07-31,1995,7,"AP-Trees baseline (static, no TC)",0.03828809883815997,0.05,0.05,0.0,0.03828809883815997,1.1570937010564206,1.1570937010564206,-0.035983800404034816
19940831,1995-08-31,1995,8,"AP-Trees baseline (static, no TC)",0.036740852930693964,0.05,0.05,0.0,0.036740852930693964,1.1996063105539672,1.1996063105539672,-0.0005650229918727767
19940930,1995-09-30,1995,9,"AP-Trees baseline (static, no TC)",-0.014530696258892159,0.05,0.05,0.0,-0.014530696258892159,1.1821751956250572,1.1821751956250572,-0.015087509073290706
19941031,1995-10-31,1995,10,"AP-Trees baseline (static, no TC)",0.019597687181790956,0.05,0.05,0.0,0.019597687181790956,1.2053430953029896,1.2053430953029896,0.0
19941130,1995-11-30,1995,11,"AP-Trees baseline (static, no TC)",-0.040326434530297585,0.05,0.05,0.0,-0.040326434530297585,1.1567359058837072,1.1567359058837072,-0.040326434530297606
19941230,1995-12-31,1995,12,"AP-Trees baseline (static, no TC)",0.01647877152508115,0.05,0.05,0.0,0.01647877152508115,1.1757974925916226,1.1757974925916226,-0.024512193106262403
19950131,1996-01-31,1996,1,"AP-Trees baseline (static, no TC)",0.013042498649866924,0.05,0.05,0.0,0.013042498649866924,1.1911328298012658,1.1911328298012658,-0.011789394701889222
19950228,1996-02-29,1996,2,"AP-Trees baseline (static, no TC)",0.03835506509324235,0.05,0.05,0.0,0.03835506509324235,1.2368188070229913,1.2368188070229913,0.0
19950331,1996-03-31,1996,3,"AP-Trees baseline (static, no TC)",0.035316983170048236,0.05,0.05,0.0,0.035316983170048236,1.2804995160150214,1.2804995160150214,0.0
19950428,1996-04-30,1996,4,"AP-Trees baseline (static, no TC)",0.023793374606341337,0.05,0.05,0.0,0.023793374606341337,1.3109669206828054,1.3109669206828054,0.0
19950531,1996-05-31,1996,5,"AP-Trees baseline (static, no TC)",0.03637604984423086,0.05,0.05,0.0,0.03637604984423086,1.358654718733701,1.358654718733701,0.0
19950630,1996-06-30,1996,6,"AP-Trees baseline (static, no TC)",0.01953332890927975,0.05,0.05,0.0,0.01953332890927975,1.3851937682288715,1.3851937682288715,0.0
