method,n_months,start_date,end_date,mean_gross_monthly,mean_net_monthly,mean_gross_ann,mean_net_ann,vol_gross_monthly,vol_net_monthly,vol_gross_ann,vol_net_ann,sharpe_gross_ann,sharpe_net_ann,sharpe_decay_due_to_costs,hit_rate_gross,hit_rate_net,avg_turnover,avg_cost,max_drawdown_net,terminal_wealth_gross,terminal_wealth_net
"AP-Trees baseline (static, no TC)",276,1994-01-31,2016-12-31,0.009417909407110547,0.009417909407110547,0.11301491288532656,0.11301491288532656,0.04205602937995771,0.04205602937995771,0.14568635930139237,0.14568635930139237,0.775741211649912,0.775741211649912,0.0,0.6376811594202898,0.6376811594202898,0.04999999999999999,0.0,-0.49074999884454384,10.40837631778654,10.40837631778654
AP-Trees rolling TC-aware + portfolio-level TC,276,1994-01-31,2016-12-31,0.009725050300222731,0.009725050289150564,0.11670060360267277,0.11670060346980676,0.05025677253765956,0.050256772536097706,0.1740945669193172,0.1740945669139068,0.6703288084616492,0.6703288077192983,7.423509584825183e-10,0.6268115942028986,0.6268115942028986,4.428868148454627e-09,1.1072170371136566e-11,-0.579426661879171,10.191800095778733,10.191800065052671
AP-Trees rolling TC-aware + stock-level TC,276,1994-01-31,2016-12-31,0.009725050300222731,0.009487039629945229,0.11670060360267277,0.11384447555934274,0.05025677253765956,0.050264659573087844,0.1740945669193172,0.174121888411483,0.6703288084616492,0.6538205885425885,0.016508219919060707,0.6268115942028986,0.6231884057971014,0.09520426811100137,0.0002380106702775034,-0.5818309078896686,10.191800095778733,9.546952263161874
AP-Trees static + stock-level TC,276,1994-01-31,2016-12-31,0.009417909407110547,0.009025608293682123,0.11301491288532656,0.10830729952418547,0.04205602937995771,0.04206871382663211,0.14568635930139237,0.14573029951360428,0.775741211649912,0.7432037118270983,0.03253749982281373,0.6376811594202898,0.6304347826086957,0.15692044537136945,0.0003923011134284237,-0.4939992855618822,10.40837631778654,9.346244237993497
